title,link,en,de,fr,es,nl,ar,hi,tr,zh,af,ceb,ko,sv,ru
Bhopal,https://en.wikipedia.org/wiki/Bhopal,1,1,1,1,1,1,1,0,1,1,1,1,1,1
Bielefeld,https://en.wikipedia.org/wiki/Bielefeld,1,1,1,1,1,1,1,1,1,0,1,1,1,1
Bilbao,https://en.wikipedia.org/wiki/Bilbao,1,1,1,1,1,1,1,1,1,0,1,1,1,1
Birmingham,https://en.wikipedia.org/wiki/Birmingham,1,1,1,1,1,1,0,1,1,1,1,1,1,1
"Birmingham, Alabama","https://en.wikipedia.org/wiki/Birmingham,_Alabama",1,1,1,1,1,1,0,1,1,0,1,1,1,1
Bogotá,https://en.wikipedia.org/wiki/Bogot%C3%A1,1,1,1,1,1,1,0,1,1,0,1,1,1,1
Bologna,https://en.wikipedia.org/wiki/Bologna,1,1,1,1,1,1,0,1,1,1,1,1,1,1
Bordeaux,https://en.wikipedia.org/wiki/Bordeaux,1,1,1,1,1,1,0,1,1,0,0,1,1,1
Boston,https://en.wikipedia.org/wiki/Boston,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Brantford,https://en.wikipedia.org/wiki/Brantford,1,1,1,1,1,1,1,1,1,1,1,1,0,1
Brasília,https://en.wikipedia.org/wiki/Bras%C3%ADlia,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Braunschweig,https://en.wikipedia.org/wiki/Braunschweig,1,1,1,1,1,1,0,1,1,0,1,1,1,1
Bremen,https://en.wikipedia.org/wiki/Bremen,1,1,1,1,1,1,0,1,1,0,1,1,1,1
Greater Bridgeport,https://en.wikipedia.org/wiki/Greater_Bridgeport,1,1,1,1,1,1,0,1,1,0,1,1,1,1
Brisbane,https://en.wikipedia.org/wiki/Brisbane,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bristol,https://en.wikipedia.org/wiki/Bristol,1,1,1,1,1,1,1,1,1,0,1,1,1,1
Brussels,https://en.wikipedia.org/wiki/Brussels,1,1,1,1,1,1,1,1,0,1,1,1,1,1
Bucharest,https://en.wikipedia.org/wiki/Bucharest,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Budapest,https://en.wikipedia.org/wiki/Budapest,1,1,1,1,1,1,0,1,1,1,1,1,1,1
Buenos Aires,https://en.wikipedia.org/wiki/Buenos_Aires,1,1,1,1,1,1,1,1,1,0,1,1,1,1
"Buffalo, New York","https://en.wikipedia.org/wiki/Buffalo,_New_York",1,1,1,1,1,1,1,1,1,0,1,1,1,1
Bursa,https://en.wikipedia.org/wiki/Bursa,1,1,1,1,1,1,1,1,1,0,1,1,0,1
Busan,https://en.wikipedia.org/wiki/Busan,1,1,1,1,1,1,1,1,1,0,1,1,1,1
Cairns,https://en.wikipedia.org/wiki/Cairns,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Cairo,https://en.wikipedia.org/wiki/Cairo,1,1,1,1,1,1,1,1,1,0,0,1,1,1
Calgary,https://en.wikipedia.org/wiki/Calgary,1,1,1,1,1,1,1,0,1,0,1,1,1,1
Campinas,https://en.wikipedia.org/wiki/Campinas,1,1,1,1,1,1,1,1,1,0,1,1,1,1
Campo Grande,https://en.wikipedia.org/wiki/Campo_Grande,1,1,1,1,1,1,1,1,0,0,1,1,1,1
Campos dos Goytacazes,https://en.wikipedia.org/wiki/Campos_dos_Goytacazes,1,1,1,1,1,1,1,1,0,0,1,1,1,1
Canberra,https://en.wikipedia.org/wiki/Canberra,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cape Town,https://en.wikipedia.org/wiki/Cape_Town,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Caracas,https://en.wikipedia.org/wiki/Caracas,1,1,1,1,1,1,1,1,1,0,1,1,1,1
Cardiff,https://en.wikipedia.org/wiki/Cardiff,1,1,1,1,1,1,0,1,1,0,1,1,1,1
Casablanca,https://en.wikipedia.org/wiki/Casablanca,1,1,1,1,1,1,1,1,1,0,1,1,1,1
Chandigarh,https://en.wikipedia.org/wiki/Chandigarh,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Changchun,https://en.wikipedia.org/wiki/Changchun,1,1,1,1,1,1,0,1,1,0,1,1,1,1
Changsha,https://en.wikipedia.org/wiki/Changsha,1,1,1,1,1,1,0,0,1,1,1,1,1,1
Changzhou,https://en.wikipedia.org/wiki/Changzhou,1,1,1,1,1,1,0,1,1,1,1,1,1,1
"Charlotte, North Carolina","https://en.wikipedia.org/wiki/Charlotte,_North_Carolina",1,1,1,1,1,1,0,1,1,0,1,1,1,1
Chengdu,https://en.wikipedia.org/wiki/Chengdu,1,1,1,1,1,1,0,1,1,0,1,1,1,1
Chennai,https://en.wikipedia.org/wiki/Chennai,1,1,1,1,1,1,1,1,1,0,1,1,1,1
Coimbatore,https://en.wikipedia.org/wiki/Coimbatore,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Chicago,https://en.wikipedia.org/wiki/Chicago,1,1,1,1,1,1,0,1,1,0,0,1,1,1
Chittagong,https://en.wikipedia.org/wiki/Chittagong,1,1,1,1,1,1,1,0,1,1,1,1,0,1
Chongqing,https://en.wikipedia.org/wiki/Chongqing,1,1,1,1,1,1,0,1,1,0,1,1,1,1
Cincinnati,https://en.wikipedia.org/wiki/Cincinnati,1,1,1,1,1,1,0,1,1,1,1,1,1,1
Cleveland,https://en.wikipedia.org/wiki/Cleveland,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Columbia, South Carolina","https://en.wikipedia.org/wiki/Columbia,_South_Carolina",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Columbus, Ohio","https://en.wikipedia.org/wiki/Columbus,_Ohio",1,1,1,1,1,1,1,1,1,1,1,1,1,1
Copenhagen,https://en.wikipedia.org/wiki/Copenhagen,1,1,1,1,1,1,1,1,1,0,1,1,1,1
Cork (city),https://en.wikipedia.org/wiki/Cork_(city),1,1,1,1,1,1,1,1,1,1,1,1,1,1
Coventry,https://en.wikipedia.org/wiki/Coventry,1,1,1,1,1,1,1,1,1,0,1,1,1,1
Curitiba,https://en.wikipedia.org/wiki/Curitiba,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Daegu,https://en.wikipedia.org/wiki/Daegu,1,1,1,1,1,1,1,1,1,0,1,1,1,1
Daejeon,https://en.wikipedia.org/wiki/Daejeon,1,1,1,1,1,1,1,1,1,0,1,1,1,1
Dalian,https://en.wikipedia.org/wiki/Dalian,1,0,1,1,1,1,1,1,1,0,1,1,1,1
Dallas–Fort Worth metroplex,https://en.wikipedia.org/wiki/Dallas%E2%80%93Fort_Worth_metroplex,1,0,1,1,0,1,1,1,1,0,1,0,1,1
Dar es Salaam,https://en.wikipedia.org/wiki/Dar_es_Salaam,1,1,1,1,1,1,1,1,1,0,1,1,1,1
Daqing,https://en.wikipedia.org/wiki/Daqing,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dayton,https://en.wikipedia.org/wiki/Dayton,1,1,1,1,1,1,0,1,1,1,1,1,1,1
Delhi,https://en.wikipedia.org/wiki/Delhi,1,1,1,1,1,1,1,1,1,0,1,1,1,1
Denver,https://en.wikipedia.org/wiki/Denver,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Des Moines,https://en.wikipedia.org/wiki/Des_Moines,1,1,1,1,1,1,0,1,1,1,1,1,1,1
Detroit,https://en.wikipedia.org/wiki/Detroit,1,1,1,1,1,1,0,1,1,0,1,1,1,1
Dhaka,https://en.wikipedia.org/wiki/Dhaka,1,1,1,1,1,1,1,1,1,0,1,1,1,1
Dongguan,https://en.wikipedia.org/wiki/Dongguan,1,1,1,1,1,1,0,1,1,1,1,1,1,1
Dongying,https://en.wikipedia.org/wiki/Dongying,1,1,1,1,1,1,0,1,1,1,1,1,1,1
Dubai,https://en.wikipedia.org/wiki/Dubai,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dublin,https://en.wikipedia.org/wiki/Dublin,1,1,1,1,1,1,1,1,1,0,0,1,1,1
Durban,https://en.wikipedia.org/wiki/Durban,1,1,1,1,1,1,1,1,1,1,0,1,1,1
"Durham, North Carolina","https://en.wikipedia.org/wiki/Durham,_North_Carolina",1,1,1,1,1,1,1,1,1,1,1,1,1,1
East Rand,https://en.wikipedia.org/wiki/East_Rand,1,1,1,0,1,1,1,1,1,1,1,1,1,1
Edinburgh,https://en.wikipedia.org/wiki/Edinburgh,1,1,1,1,1,1,1,1,1,0,1,1,1,1
Edmonton,https://en.wikipedia.org/wiki/Edmonton,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Eindhoven,https://en.wikipedia.org/wiki/Eindhoven,1,1,1,1,1,1,1,1,1,1,1,1,1,1
El Paso,https://en.wikipedia.org/wiki/El_Paso,1,1,1,1,1,1,1,1,1,0,1,1,1,1
Faisalabad,https://en.wikipedia.org/wiki/Faisalabad,1,1,1,1,1,1,0,1,1,0,1,1,1,1
Florence,https://en.wikipedia.org/wiki/Florence,1,1,1,1,1,1,1,1,1,0,1,1,1,1
Fortaleza,https://en.wikipedia.org/wiki/Fortaleza,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Foshan,https://en.wikipedia.org/wiki/Foshan,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Frankfurt,https://en.wikipedia.org/wiki/Frankfurt,1,1,1,1,1,1,1,1,1,0,1,1,1,1
Fresno,https://en.wikipedia.org/wiki/Fresno,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Fukuoka–Kitakyushu,https://en.wikipedia.org/wiki/Fukuoka%E2%80%93Kitakyushu,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Fuzhou,https://en.wikipedia.org/wiki/Fuzhou,1,1,1,1,1,1,0,0,1,1,1,1,1,1
Geelong,https://en.wikipedia.org/wiki/Geelong,1,1,1,1,1,1,0,1,1,1,1,0,0,1
Geneva,https://en.wikipedia.org/wiki/Geneva,1,1,1,1,1,1,1,1,1,0,1,1,1,1
"George Town, Penang","https://en.wikipedia.org/wiki/George_Town,_Penang",1,0,1,1,1,1,1,1,1,0,1,1,0,1
"Gladstone, Queensland","https://en.wikipedia.org/wiki/Gladstone,_Queensland",1,1,1,1,1,1,1,1,1,0,1,1,1,1
Glasgow,https://en.wikipedia.org/wiki/Glasgow,1,1,1,1,1,1,0,1,1,1,1,1,1,1
Gothenburg,https://en.wikipedia.org/wiki/Gothenburg,1,1,1,1,1,1,0,1,1,0,1,1,1,1
"Gold Coast, Queensland","https://en.wikipedia.org/wiki/Gold_Coast,_Queensland",1,1,1,1,1,1,1,1,1,1,1,1,1,1
Grand Rapids,https://en.wikipedia.org/wiki/Grand_Rapids,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Greensboro,https://en.wikipedia.org/wiki/Greensboro,1,1,1,1,1,1,1,1,1,1,1,1,0,1
"Greenville, South Carolina","https://en.wikipedia.org/wiki/Greenville,_South_Carolina",1,1,1,1,1,1,1,1,1,1,1,1,1,1
Goiânia,https://en.wikipedia.org/wiki/Goi%C3%A2nia,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Guadalajara,https://en.wikipedia.org/wiki/Guadalajara,1,1,1,1,1,1,0,1,1,1,1,1,1,1
Guangzhou,https://en.wikipedia.org/wiki/Guangzhou,1,1,1,1,1,1,1,1,1,0,1,1,1,1
Guelph,https://en.wikipedia.org/wiki/Guelph,1,1,1,1,1,1,1,1,1,0,1,1,1,1
Gujranwala,https://en.wikipedia.org/wiki/Gujranwala,1,1,1,1,1,1,0,1,1,1,1,1,1,1
Gwangju,https://en.wikipedia.org/wiki/Gwangju,1,1,1,1,1,1,0,1,1,0,1,1,1,1
Haifa,https://en.wikipedia.org/wiki/Haifa,1,1,1,1,1,1,1,1,1,0,1,1,1,1
"Halifax, Nova Scotia","https://en.wikipedia.org/wiki/Halifax,_Nova_Scotia",1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hamamatsu,https://en.wikipedia.org/wiki/Hamamatsu,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hamburg,https://en.wikipedia.org/wiki/Hamburg,1,1,1,1,1,1,0,1,1,1,1,1,1,1
Hangzhou,https://en.wikipedia.org/wiki/Hangzhou,1,1,1,1,1,1,0,1,1,0,1,1,1,1
Hannover,https://en.wikipedia.org/wiki/Hannover,1,1,1,1,1,1,0,1,1,0,1,1,1,1
Hanoi,https://en.wikipedia.org/wiki/Hanoi,1,1,1,1,1,1,1,1,1,0,1,1,1,1
Harbin,https://en.wikipedia.org/wiki/Harbin,1,1,1,1,1,1,0,1,1,0,1,1,1,1
Harrisburg,https://en.wikipedia.org/wiki/Harrisburg,1,1,1,1,1,1,0,1,1,1,1,1,1,1
Greater Hartford,https://en.wikipedia.org/wiki/Greater_Hartford,1,1,1,1,1,1,0,1,1,1,1,1,1,1
Hefei,https://en.wikipedia.org/wiki/Hefei,1,1,1,1,1,1,0,1,1,1,1,1,1,1
Helsinki,https://en.wikipedia.org/wiki/Helsinki,1,1,1,1,1,1,0,1,1,0,1,1,1,1
Hiroshima,https://en.wikipedia.org/wiki/Hiroshima,1,1,1,1,1,1,0,1,1,1,1,1,1,1
Hobart,https://en.wikipedia.org/wiki/Hobart,1,0,1,1,1,1,0,1,1,1,1,1,1,1
Ho Chi Minh City,https://en.wikipedia.org/wiki/Ho_Chi_Minh_City,1,1,1,1,1,1,0,1,1,0,1,1,1,1
Hong Kong,https://en.wikipedia.org/wiki/Hong_Kong,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Honolulu,https://en.wikipedia.org/wiki/Honolulu,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Greater Houston,https://en.wikipedia.org/wiki/Greater_Houston,1,0,0,0,1,1,1,1,1,1,0,0,0,0
Hsinchu,https://en.wikipedia.org/wiki/Hsinchu,1,1,1,1,1,1,1,1,1,0,1,1,0,1
Huhehaote,https://en.wikipedia.org/wiki/Huhehaote,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"Huntsville, Alabama","https://en.wikipedia.org/wiki/Huntsville,_Alabama",1,1,1,1,1,1,1,1,1,0,1,1,1,1
"Hyderabad, India","https://en.wikipedia.org/wiki/Hyderabad,_India",1,1,1,1,1,1,1,1,1,0,1,1,1,1
Indianapolis metropolitan area,https://en.wikipedia.org/wiki/Indianapolis_metropolitan_area,1,1,0,1,1,1,1,1,1,0,1,1,1,1
Indore,https://en.wikipedia.org/wiki/Indore,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Istanbul,https://en.wikipedia.org/wiki/Istanbul,1,1,1,1,1,1,1,1,1,0,0,1,1,1
Izmir,https://en.wikipedia.org/wiki/Izmir,1,1,1,1,1,1,0,1,1,0,1,1,1,1
"Jacksonville, Florida","https://en.wikipedia.org/wiki/Jacksonville,_Florida",1,1,1,1,1,1,0,1,1,0,1,1,1,1
Jakarta,https://en.wikipedia.org/wiki/Jakarta,1,1,1,1,1,1,1,1,1,0,1,1,1,1
Jeddah,https://en.wikipedia.org/wiki/Jeddah,1,0,1,1,1,1,1,1,1,0,1,0,0,1
Jerusalem,https://en.wikipedia.org/wiki/Jerusalem,1,1,1,1,1,1,1,1,1,0,0,1,1,1
Jinan,https://en.wikipedia.org/wiki/Jinan,1,1,1,1,1,1,0,1,1,0,1,1,1,1
Johannesburg,https://en.wikipedia.org/wiki/Johannesburg,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jundiaí,https://en.wikipedia.org/wiki/Jundia%C3%AD,1,1,1,1,1,1,1,1,0,1,1,0,1,1
Kabul,https://en.wikipedia.org/wiki/Kabul,1,1,1,1,1,1,1,1,1,0,0,1,1,1
Kagoshima,https://en.wikipedia.org/wiki/Kagoshima,1,1,1,1,1,1,1,1,1,0,1,1,1,1
"Kansas City, Missouri","https://en.wikipedia.org/wiki/Kansas_City,_Missouri",1,1,1,1,1,1,1,1,1,0,1,1,1,1
Kaohsiung,https://en.wikipedia.org/wiki/Kaohsiung,1,1,1,1,1,1,1,1,1,0,1,1,1,1
Karachi,https://en.wikipedia.org/wiki/Karachi,1,1,1,1,1,1,1,1,1,0,1,1,1,1
Karlsruhe,https://en.wikipedia.org/wiki/Karlsruhe,1,1,1,1,1,1,0,1,1,0,1,1,1,1
Katowice,https://en.wikipedia.org/wiki/Katowice,1,1,1,1,1,1,0,1,1,0,1,1,1,1
Kaunas,https://en.wikipedia.org/wiki/Kaunas,1,1,1,1,1,1,0,1,1,0,1,1,1,1
Kelowna,https://en.wikipedia.org/wiki/Kelowna,1,1,1,1,1,1,0,0,1,0,1,1,0,1
Kyiv,https://en.wikipedia.org/wiki/Kyiv,1,1,1,1,1,1,0,1,1,1,1,1,1,1
"Kingston, Ontario","https://en.wikipedia.org/wiki/Kingston,_Ontario",1,1,1,1,1,1,0,1,1,1,1,1,1,1
Kingston-upon-Hull,https://en.wikipedia.org/wiki/Kingston-upon-Hull,1,1,1,1,1,1,0,1,1,1,1,1,1,1
"Kitchener, Ontario","https://en.wikipedia.org/wiki/Kitchener,_Ontario",1,1,1,1,1,1,0,1,1,1,1,1,1,1
Klaipėda,https://en.wikipedia.org/wiki/Klaip%C4%97da,1,1,1,1,1,1,0,1,1,0,1,1,1,1
"Knoxville, Tennessee","https://en.wikipedia.org/wiki/Knoxville,_Tennessee",1,1,1,1,1,1,0,1,1,1,1,1,1,1
Kolkata,https://en.wikipedia.org/wiki/Kolkata,1,1,1,1,1,1,1,1,1,0,1,1,1,1
Krakow,https://en.wikipedia.org/wiki/Krakow,1,1,1,1,1,1,0,1,1,0,1,1,1,1
Kuala Lumpur,https://en.wikipedia.org/wiki/Kuala_Lumpur,1,1,1,1,1,1,1,1,1,0,1,1,1,1
Kumamoto,https://en.wikipedia.org/wiki/Kumamoto,1,1,1,1,1,1,1,1,1,0,1,1,1,1
Kunming,https://en.wikipedia.org/wiki/Kunming,1,1,1,1,1,1,0,0,1,1,1,1,1,1
Kuwait City,https://en.wikipedia.org/wiki/Kuwait_City,1,1,1,1,1,1,1,1,1,0,1,1,1,1
Lagos,https://en.wikipedia.org/wiki/Lagos,1,1,1,1,1,1,1,1,1,0,1,1,1,1
Lahore,https://en.wikipedia.org/wiki/Lahore,1,1,1,1,1,1,1,1,1,0,1,1,1,1
"Launceston, Tasmania","https://en.wikipedia.org/wiki/Launceston,_Tasmania",1,1,1,1,1,1,1,1,1,0,1,0,1,1
Las Vegas,https://en.wikipedia.org/wiki/Las_Vegas,1,1,1,1,1,1,1,1,1,0,0,1,1,1
Leeds,https://en.wikipedia.org/wiki/Leeds,1,1,1,1,1,1,1,1,1,0,1,1,1,1
Leicester,https://en.wikipedia.org/wiki/Leicester,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Leipzig,https://en.wikipedia.org/wiki/Leipzig,1,1,1,1,1,1,1,1,1,0,1,1,1,1
Lethbridge,https://en.wikipedia.org/wiki/Lethbridge,1,1,1,1,1,1,1,0,1,0,1,1,1,1
Lille,https://en.wikipedia.org/wiki/Lille,1,1,1,1,1,1,0,1,1,0,0,1,1,1
Lima,https://en.wikipedia.org/wiki/Lima,1,1,1,1,1,1,0,1,1,0,1,1,1,1
Linz,https://en.wikipedia.org/wiki/Linz,1,1,1,1,1,1,0,0,1,0,1,1,1,1
Lisbon,https://en.wikipedia.org/wiki/Lisbon,1,1,1,1,1,1,0,1,1,0,0,1,1,1
Little Rock,https://en.wikipedia.org/wiki/Little_Rock,1,1,1,1,1,1,0,1,1,1,1,1,1,1
Liverpool,https://en.wikipedia.org/wiki/Liverpool,1,1,1,1,1,1,0,1,1,0,1,1,1,1
London,https://en.wikipedia.org/wiki/London,1,1,1,1,1,1,1,1,1,1,0,1,1,1
"London, Ontario","https://en.wikipedia.org/wiki/London,_Ontario",1,1,1,1,1,1,1,0,1,1,1,1,1,1
Greater Los Angeles,https://en.wikipedia.org/wiki/Greater_Los_Angeles,1,0,1,1,0,1,1,1,1,1,1,0,1,0
Louisville metropolitan area,https://en.wikipedia.org/wiki/Louisville_metropolitan_area,1,0,0,1,0,1,1,1,1,1,1,0,1,0
Lucknow,https://en.wikipedia.org/wiki/Lucknow,1,1,1,1,1,1,1,0,1,0,1,1,0,1
Luxembourg City,https://en.wikipedia.org/wiki/Luxembourg_City,1,1,1,1,1,1,1,1,1,0,1,1,1,1
Lyon,https://en.wikipedia.org/wiki/Lyon,1,1,1,1,1,1,1,1,1,0,0,1,1,1
Macau,https://en.wikipedia.org/wiki/Macau,1,1,1,1,1,1,1,1,1,1,0,1,1,1
"Mackay, Queensland","https://en.wikipedia.org/wiki/Mackay,_Queensland",1,1,1,1,1,1,1,1,0,1,1,0,1,1
"Madison, Wisconsin","https://en.wikipedia.org/wiki/Madison,_Wisconsin",1,1,1,1,1,1,0,1,1,1,1,1,1,1
Madrid,https://en.wikipedia.org/wiki/Madrid,1,1,1,1,1,1,1,1,1,0,0,1,1,1
Makassar,https://en.wikipedia.org/wiki/Makassar,1,1,1,1,1,1,1,1,1,0,1,0,1,1
Manaus,https://en.wikipedia.org/wiki/Manaus,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Manchester,https://en.wikipedia.org/wiki/Manchester,1,1,1,1,1,1,0,1,1,0,1,1,1,1
Manila,https://en.wikipedia.org/wiki/Manila,1,1,1,1,1,1,1,1,1,0,1,1,1,1
Marseille,https://en.wikipedia.org/wiki/Marseille,1,1,1,1,1,1,1,1,1,0,0,1,1,1
Medellín,https://en.wikipedia.org/wiki/Medell%C3%ADn,1,1,1,1,1,1,1,1,1,0,1,1,1,1
Medan,https://en.wikipedia.org/wiki/Medan,1,1,1,1,1,1,0,1,1,0,1,1,1,1
Melbourne,https://en.wikipedia.org/wiki/Melbourne,1,1,1,1,1,1,0,1,1,1,1,1,1,1
"Memphis, Tennessee","https://en.wikipedia.org/wiki/Memphis,_Tennessee",1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mexico City,https://en.wikipedia.org/wiki/Mexico_City,1,1,1,1,1,1,1,1,1,0,1,1,1,1
Miami,https://en.wikipedia.org/wiki/Miami,1,1,1,1,1,1,1,1,1,0,1,1,1,1
Milan,https://en.wikipedia.org/wiki/Milan,1,1,1,1,1,1,1,1,1,0,1,1,1,1
Milwaukee,https://en.wikipedia.org/wiki/Milwaukee,1,1,1,1,1,1,1,1,1,0,1,1,1,1
"Minneapolis/St. Paul, Minnesota","https://en.wikipedia.org/wiki/Minneapolis/St._Paul,_Minnesota",1,0,0,1,0,1,1,0,1,0,1,0,0,1
Minsk,https://en.wikipedia.org/wiki/Minsk,1,1,1,1,1,1,0,1,1,0,1,1,1,1
Moncton,https://en.wikipedia.org/wiki/Moncton,1,1,1,1,1,1,0,0,1,1,1,1,1,1
Monterrey,https://en.wikipedia.org/wiki/Monterrey,1,1,1,1,1,1,0,1,1,1,1,1,1,1
Montevideo,https://en.wikipedia.org/wiki/Montevideo,1,1,1,1,1,1,0,1,1,0,1,1,1,1
Montreal,https://en.wikipedia.org/wiki/Montreal,1,1,1,1,1,1,1,1,1,0,0,1,1,1
Moscow,https://en.wikipedia.org/wiki/Moscow,1,1,1,1,1,1,0,1,1,0,0,1,1,1
Multan,https://en.wikipedia.org/wiki/Multan,1,1,1,1,1,1,1,0,1,1,1,1,1,1
