title,link,en,de,fr,es,ceb,nl,ko,ar,ru,sv,hi,tr,zh,af
Taylor Swift,https://en.wikipedia.org/wiki/Taylor_Swift,1,0,1,1,0,1,1,1,1,1,1,1,1,1
Miley Cyrus,https://en.wikipedia.org/wiki/Miley_Cyrus,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Lil Wayne,https://en.wikipedia.org/wiki/Lil_Wayne,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Abraham Lincoln,https://en.wikipedia.org/wiki/Abraham_Lincoln,1,0,1,1,1,1,1,1,1,1,1,1,1,0
Johnny Depp,https://en.wikipedia.org/wiki/Johnny_Depp,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Kobe Bryant,https://en.wikipedia.org/wiki/Kobe_Bryant,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Selena Gomez,https://en.wikipedia.org/wiki/Selena_Gomez,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Rihanna,https://en.wikipedia.org/wiki/Rihanna,1,0,1,1,1,1,1,1,1,1,1,1,1,1
LeBron James,https://en.wikipedia.org/wiki/LeBron_James,1,0,1,1,0,1,1,1,1,1,0,1,1,1
Albert Einstein,https://en.wikipedia.org/wiki/Albert_Einstein,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Leonardo DiCaprio,https://en.wikipedia.org/wiki/Leonardo_DiCaprio,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Kanye West,https://en.wikipedia.org/wiki/Kanye_West,1,0,1,1,1,1,1,1,1,1,0,1,1,1
Tupac Shakur,https://en.wikipedia.org/wiki/Tupac_Shakur,1,0,1,1,1,1,1,1,1,1,0,1,1,1
Angelina Jolie,https://en.wikipedia.org/wiki/Angelina_Jolie,1,0,1,1,1,1,1,1,1,1,1,1,1,1
John F. Kennedy,https://en.wikipedia.org/wiki/John_F._Kennedy,1,0,1,1,1,1,1,1,1,1,1,1,1,0
Joe Biden,https://en.wikipedia.org/wiki/Joe_Biden,1,0,1,1,0,1,1,1,1,1,1,1,1,0
Scarlett Johansson,https://en.wikipedia.org/wiki/Scarlett_Johansson,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Tom Cruise,https://en.wikipedia.org/wiki/Tom_Cruise,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Mila Kunis,https://en.wikipedia.org/wiki/Mila_Kunis,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Arnold Schwarzenegger,https://en.wikipedia.org/wiki/Arnold_Schwarzenegger,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Pablo Escobar,https://en.wikipedia.org/wiki/Pablo_Escobar,1,0,1,1,1,1,0,1,1,1,1,1,1,1
"Meghan, Duchess of Sussex","https://en.wikipedia.org/wiki/Meghan,_Duchess_of_Sussex",1,0,1,1,1,1,1,1,1,1,1,1,1,1
Queen Victoria,https://en.wikipedia.org/wiki/Queen_Victoria,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Ariana Grande,https://en.wikipedia.org/wiki/Ariana_Grande,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Jennifer Aniston,https://en.wikipedia.org/wiki/Jennifer_Aniston,1,0,1,1,1,1,1,1,1,1,1,1,1,1
William Shakespeare,https://en.wikipedia.org/wiki/William_Shakespeare,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Mark Zuckerberg,https://en.wikipedia.org/wiki/Mark_Zuckerberg,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Bill Gates,https://en.wikipedia.org/wiki/Bill_Gates,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Will Smith,https://en.wikipedia.org/wiki/Will_Smith,1,0,1,1,0,1,1,1,1,1,1,1,1,1
Nicki Minaj,https://en.wikipedia.org/wiki/Nicki_Minaj,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Ted Bundy,https://en.wikipedia.org/wiki/Ted_Bundy,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Keanu Reeves,https://en.wikipedia.org/wiki/Keanu_Reeves,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Muhammad Ali,https://en.wikipedia.org/wiki/Muhammad_Ali,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Katy Perry,https://en.wikipedia.org/wiki/Katy_Perry,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Elvis Presley,https://en.wikipedia.org/wiki/Elvis_Presley,1,0,1,1,1,1,1,1,1,1,0,1,1,1
John Cena,https://en.wikipedia.org/wiki/John_Cena,1,1,1,1,1,1,0,1,1,1,1,1,1,1
Bruce Lee,https://en.wikipedia.org/wiki/Bruce_Lee,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Charles Manson,https://en.wikipedia.org/wiki/Charles_Manson,1,0,1,1,1,1,1,1,1,1,0,1,1,1
Marilyn Monroe,https://en.wikipedia.org/wiki/Marilyn_Monroe,1,0,1,1,1,1,1,1,1,1,1,1,1,1
"Diana, Princess of Wales","https://en.wikipedia.org/wiki/Diana,_Princess_of_Wales",1,0,1,1,1,1,1,1,1,1,1,1,1,1
Winston Churchill,https://en.wikipedia.org/wiki/Winston_Churchill,1,0,1,1,1,1,1,1,1,1,0,1,1,1
Tom Brady,https://en.wikipedia.org/wiki/Tom_Brady,1,1,1,1,1,1,0,1,1,1,0,1,1,1
"Prince Philip, Duke of Edinburgh","https://en.wikipedia.org/wiki/Prince_Philip,_Duke_of_Edinburgh",1,0,1,1,1,1,1,1,1,1,1,1,1,1
Brad Pitt,https://en.wikipedia.org/wiki/Brad_Pitt,1,0,1,1,1,1,1,1,1,1,1,1,1,1
"Charles, Prince of Wales","https://en.wikipedia.org/wiki/Charles,_Prince_of_Wales",1,0,1,1,1,1,1,1,1,1,1,1,1,1
Jay-Z,https://en.wikipedia.org/wiki/Jay-Z,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Prince (musician),https://en.wikipedia.org/wiki/Prince_(musician),1,0,1,1,1,1,1,1,1,1,1,1,1,1
David Bowie,https://en.wikipedia.org/wiki/David_Bowie,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Heath Ledger,https://en.wikipedia.org/wiki/Heath_Ledger,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Kamala Harris,https://en.wikipedia.org/wiki/Kamala_Harris,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Ronald Reagan,https://en.wikipedia.org/wiki/Ronald_Reagan,1,0,1,1,1,1,1,1,1,1,1,1,1,0
George W. Bush,https://en.wikipedia.org/wiki/George_W._Bush,1,0,1,1,1,1,1,1,1,1,0,1,1,0
Britney Spears,https://en.wikipedia.org/wiki/Britney_Spears,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Clint Eastwood,https://en.wikipedia.org/wiki/Clint_Eastwood,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Lali Espósito,https://en.wikipedia.org/wiki/Lali_Esp%C3%B3sito,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Adele,https://en.wikipedia.org/wiki/Adele,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Jennifer Lopez,https://en.wikipedia.org/wiki/Jennifer_Lopez,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Sylvester Stallone,https://en.wikipedia.org/wiki/Sylvester_Stallone,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Jennifer Lawrence,https://en.wikipedia.org/wiki/Jennifer_Lawrence,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Ryan Reynolds,https://en.wikipedia.org/wiki/Ryan_Reynolds,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Henry VIII of England,https://en.wikipedia.org/wiki/Henry_VIII_of_England,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Mahatma Gandhi,https://en.wikipedia.org/wiki/Mahatma_Gandhi,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Mark Wahlberg,https://en.wikipedia.org/wiki/Mark_Wahlberg,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Nelson Mandela,https://en.wikipedia.org/wiki/Nelson_Mandela,1,0,1,1,0,1,1,1,1,1,1,1,1,1
Emma Watson,https://en.wikipedia.org/wiki/Emma_Watson,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Demi Lovato,https://en.wikipedia.org/wiki/Demi_Lovato,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Beyoncé,https://en.wikipedia.org/wiki/Beyonc%C3%A9,1,0,1,1,0,1,1,1,1,1,1,1,1,1
John Lennon,https://en.wikipedia.org/wiki/John_Lennon,1,0,1,1,0,1,1,1,1,1,0,1,1,1
Bob Marley,https://en.wikipedia.org/wiki/Bob_Marley,1,0,1,1,0,1,1,1,1,1,1,1,1,1
Robin Williams,https://en.wikipedia.org/wiki/Robin_Williams,1,0,1,1,1,1,1,1,1,1,1,1,1,1
The Undertaker,https://en.wikipedia.org/wiki/The_Undertaker,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Leonardo Da Vinci,https://en.wikipedia.org/wiki/Leonardo_Da_Vinci,1,0,1,1,1,1,1,1,1,1,0,1,1,1
Louis Tomlinson,https://en.wikipedia.org/wiki/Louis_Tomlinson,1,0,1,1,1,1,1,1,1,1,0,1,1,1
Madonna (entertainer),https://en.wikipedia.org/wiki/Madonna_(entertainer),1,0,1,1,1,1,1,1,1,1,1,1,1,1
Megan Fox,https://en.wikipedia.org/wiki/Megan_Fox,1,0,1,1,1,1,1,1,1,1,1,1,1,0
Roger Federer,https://en.wikipedia.org/wiki/Roger_Federer,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bill Clinton,https://en.wikipedia.org/wiki/Bill_Clinton,1,0,1,1,1,1,1,1,1,1,0,1,1,0
George Washington,https://en.wikipedia.org/wiki/George_Washington,1,0,1,1,1,1,1,1,1,1,1,1,1,0
Tom Hardy,https://en.wikipedia.org/wiki/Tom_Hardy,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Mariah Carey,https://en.wikipedia.org/wiki/Mariah_Carey,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Sunny Leone,https://en.wikipedia.org/wiki/Sunny_Leone,1,0,1,1,1,1,1,1,1,0,1,1,1,1
Kristen Stewart,https://en.wikipedia.org/wiki/Kristen_Stewart,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Natalie Portman,https://en.wikipedia.org/wiki/Natalie_Portman,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Tom Hanks,https://en.wikipedia.org/wiki/Tom_Hanks,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Melania Trump,https://en.wikipedia.org/wiki/Melania_Trump,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Meghan Markle,https://en.wikipedia.org/wiki/Meghan_Markle,1,0,1,1,1,1,1,1,1,1,1,1,1,1
"Princess Margaret, Countess of Snowdon","https://en.wikipedia.org/wiki/Princess_Margaret,_Countess_of_Snowdon",1,0,1,1,1,1,1,1,1,1,1,1,1,1
Franklin D. Roosevelt,https://en.wikipedia.org/wiki/Franklin_D._Roosevelt,1,0,1,1,1,1,1,1,1,1,1,1,1,0
George VI,https://en.wikipedia.org/wiki/George_VI,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Elizabeth I,https://en.wikipedia.org/wiki/Elizabeth_I,1,0,1,1,1,1,1,1,1,1,1,1,1,1
George H. W. Bush,https://en.wikipedia.org/wiki/George_H._W._Bush,1,0,1,1,1,1,1,1,1,1,1,1,1,0
Joseph Stalin,https://en.wikipedia.org/wiki/Joseph_Stalin,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Richard Nixon,https://en.wikipedia.org/wiki/Richard_Nixon,1,0,1,1,1,1,1,1,1,1,1,1,1,0
"Mary, Queen of Scots","https://en.wikipedia.org/wiki/Mary,_Queen_of_Scots",1,0,1,1,1,1,1,1,1,1,1,1,1,1
Margaret Thatcher,https://en.wikipedia.org/wiki/Margaret_Thatcher,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Vladimir Putin,https://en.wikipedia.org/wiki/Vladimir_Putin,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Osama bin Laden,https://en.wikipedia.org/wiki/Osama_bin_Laden,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Tupak Shakur,https://en.wikipedia.org/wiki/Tupak_Shakur,1,0,1,1,1,1,1,1,1,1,0,1,1,1
O. J. Simpson,https://en.wikipedia.org/wiki/O._J._Simpson,1,1,1,1,1,1,0,1,1,1,0,1,1,1
Al Capone,https://en.wikipedia.org/wiki/Al_Capone,1,0,1,1,1,1,0,1,1,1,1,1,1,1
Jeffrey Epstein,https://en.wikipedia.org/wiki/Jeffrey_Epstein,1,0,1,1,1,1,0,1,1,1,1,1,1,1
Ted Kaczynski,https://en.wikipedia.org/wiki/Ted_Kaczynski,1,0,1,1,1,1,1,1,1,0,1,1,1,1
Bill Cosby,https://en.wikipedia.org/wiki/Bill_Cosby,1,0,1,1,1,1,1,1,1,1,1,1,1,1
John Wayne Gacy,https://en.wikipedia.org/wiki/John_Wayne_Gacy,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Jordan Belfort,https://en.wikipedia.org/wiki/Jordan_Belfort,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Roman Polanski,https://en.wikipedia.org/wiki/Roman_Polanski,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Jeffrey Dahmer,https://en.wikipedia.org/wiki/Jeffrey_Dahmer,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Suge Knight,https://en.wikipedia.org/wiki/Suge_Knight,1,0,1,1,1,0,0,1,1,1,1,0,1,1
Aaron Hernandez,https://en.wikipedia.org/wiki/Aaron_Hernandez,1,1,1,1,1,0,0,1,1,0,1,1,1,1
Guy Fawkes,https://en.wikipedia.org/wiki/Guy_Fawkes,1,0,1,1,1,1,0,1,1,1,1,1,1,1
6ix9ine,https://en.wikipedia.org/wiki/6ix9ine,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Harvey Weinstein,https://en.wikipedia.org/wiki/Harvey_Weinstein,1,0,1,1,1,1,0,1,1,1,1,1,1,0
Jack the Ripper,https://en.wikipedia.org/wiki/Jack_the_Ripper,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Richard Branson,https://en.wikipedia.org/wiki/Richard_Branson,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Bonnie and Clyde,https://en.wikipedia.org/wiki/Bonnie_and_Clyde,1,0,1,0,1,0,1,0,1,0,1,1,0,0
Whitey Bulger,https://en.wikipedia.org/wiki/Whitey_Bulger,1,0,1,1,1,1,0,1,1,1,1,1,1,0
Zodiac Killer,https://en.wikipedia.org/wiki/Zodiac_Killer,1,0,1,1,1,1,1,1,1,1,1,1,1,1
John Dillinger,https://en.wikipedia.org/wiki/John_Dillinger,1,0,1,1,1,0,1,1,1,1,1,0,1,1
Tonya Harding,https://en.wikipedia.org/wiki/Tonya_Harding,1,0,1,1,1,1,1,1,1,1,1,0,1,1
Jesse James,https://en.wikipedia.org/wiki/Jesse_James,1,0,1,1,1,1,1,1,1,1,1,0,0,1
Kray twins,https://en.wikipedia.org/wiki/Kray_twins,1,0,1,1,1,0,0,1,1,1,1,1,1,1
Frank Abagnale,https://en.wikipedia.org/wiki/Frank_Abagnale,1,0,1,1,1,0,0,1,1,1,1,1,1,1
Steven Avery,https://en.wikipedia.org/wiki/Steven_Avery,1,0,1,1,1,1,0,1,1,1,1,1,1,1
Billie Eilish,https://en.wikipedia.org/wiki/Billie_Eilish,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Millie Bobby Brown,https://en.wikipedia.org/wiki/Millie_Bobby_Brown,1,0,1,1,0,1,1,1,1,1,1,1,1,1
Willow Smith,https://en.wikipedia.org/wiki/Willow_Smith,1,0,1,1,0,1,1,1,1,1,1,1,1,1
Maddie Ziegler,https://en.wikipedia.org/wiki/Maddie_Ziegler,0,0,1,1,0,1,1,1,1,1,1,1,0,1
Greta Thunberg,https://en.wikipedia.org/wiki/Greta_Thunberg,1,0,1,1,0,1,1,1,1,1,1,1,1,1
Jojo Siwa,https://en.wikipedia.org/wiki/Jojo_Siwa,1,0,1,1,0,1,1,1,1,1,1,1,1,1
Prince George of Cambridge,https://en.wikipedia.org/wiki/Prince_George_of_Cambridge,1,0,1,1,0,1,1,1,1,1,1,1,1,1
Lil Pump,https://en.wikipedia.org/wiki/Lil_Pump,1,0,1,1,1,1,0,1,1,1,1,1,1,1
Bhad Bhabie,https://en.wikipedia.org/wiki/Bhad_Bhabie,1,0,1,1,1,0,1,1,1,1,1,0,1,1
Noah Cyrus,https://en.wikipedia.org/wiki/Noah_Cyrus,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Finn Wolfhard,https://en.wikipedia.org/wiki/Finn_Wolfhard,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Gaten Matarazzo,https://en.wikipedia.org/wiki/Gaten_Matarazzo,1,0,1,1,1,1,1,1,1,1,1,0,0,1
Barron Trump,https://en.wikipedia.org/wiki/Barron_Trump,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Lady Louise Windsor,https://en.wikipedia.org/wiki/Lady_Louise_Windsor,1,0,1,1,1,1,1,1,1,1,1,0,1,1
Princess Charlotte of Cambridge,https://en.wikipedia.org/wiki/Princess_Charlotte_of_Cambridge,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Charli D'Amelio,https://en.wikipedia.org/wiki/Charli_D%27Amelio,1,0,1,1,0,1,1,1,1,1,1,1,1,1
Erling Haaland,https://en.wikipedia.org/wiki/Erling_Haaland,1,1,1,1,0,1,1,1,1,1,1,1,1,1
LaMelo Ball,https://en.wikipedia.org/wiki/LaMelo_Ball,1,0,1,1,0,1,1,1,1,1,1,1,1,1
Zion Williamson,https://en.wikipedia.org/wiki/Zion_Williamson,1,0,1,1,0,1,1,1,1,1,1,1,1,1
Jacob Tremblay,https://en.wikipedia.org/wiki/Jacob_Tremblay,1,0,1,1,0,1,1,1,1,1,1,1,1,1
Olivia Rodrigo,https://en.wikipedia.org/wiki/Olivia_Rodrigo,1,0,1,1,0,1,1,1,1,1,1,1,1,1
Isabela Moner,https://en.wikipedia.org/wiki/Isabela_Moner,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Mackenzie Foy,https://en.wikipedia.org/wiki/Mackenzie_Foy,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Jadon Sancho,https://en.wikipedia.org/wiki/Jadon_Sancho,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jackie Evancho,https://en.wikipedia.org/wiki/Jackie_Evancho,1,0,1,1,1,1,1,1,1,1,1,1,1,1
"James, Viscount Severn","https://en.wikipedia.org/wiki/James,_Viscount_Severn",1,0,1,1,1,1,1,1,1,1,1,0,1,1
Yara Shahidi,https://en.wikipedia.org/wiki/Yara_Shahidi,1,0,1,1,1,1,1,1,1,1,1,0,1,1
Skai Jackson,https://en.wikipedia.org/wiki/Skai_Jackson,1,0,1,1,1,1,1,1,1,1,1,0,1,1
Mckenna Grace,https://en.wikipedia.org/wiki/Mckenna_Grace,1,0,1,1,1,1,1,1,1,1,1,0,1,1
Frankie Jonas,https://en.wikipedia.org/wiki/Frankie_Jonas,1,0,1,1,1,0,1,1,1,1,1,1,1,1
Archie Mountbatten-Windsor,https://en.wikipedia.org/wiki/Archie_Mountbatten-Windsor,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Jesus,https://en.wikipedia.org/wiki/Jesus,1,0,1,0,1,1,1,1,1,1,1,1,1,1
Alexander the Great,https://en.wikipedia.org/wiki/Alexander_the_Great,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Muhammad,https://en.wikipedia.org/wiki/Muhammad,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Julius Caesar,https://en.wikipedia.org/wiki/Julius_Caesar,1,0,1,1,0,1,1,1,1,1,1,1,1,1
Genghis Khan,https://en.wikipedia.org/wiki/Genghis_Khan,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Cleopatra,https://en.wikipedia.org/wiki/Cleopatra,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Aristotle,https://en.wikipedia.org/wiki/Aristotle,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Gautama Buddha,https://en.wikipedia.org/wiki/Gautama_Buddha,1,0,1,1,1,1,1,1,1,1,1,0,1,1
Plato,https://en.wikipedia.org/wiki/Plato,1,0,1,1,1,1,1,1,1,1,1,1,1,1
King Arthur,https://en.wikipedia.org/wiki/King_Arthur,0,0,1,1,0,1,1,1,1,1,0,0,0,1
Spartacus,https://en.wikipedia.org/wiki/Spartacus,1,0,1,1,0,1,0,1,1,1,1,0,0,1
Joan of Arc,https://en.wikipedia.org/wiki/Joan_of_Arc,1,0,1,1,0,1,1,1,1,1,1,1,1,1
Socrates,https://en.wikipedia.org/wiki/Socrates,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Charlemagne,https://en.wikipedia.org/wiki/Charlemagne,1,0,1,1,0,1,1,1,1,1,0,1,1,1
Tutankhamun,https://en.wikipedia.org/wiki/Tutankhamun,1,1,1,1,0,1,1,1,1,1,1,1,1,1
Ragnar Lodbrok,https://en.wikipedia.org/wiki/Ragnar_Lodbrok,0,0,1,1,0,0,1,1,1,1,1,1,1,1
Augustus,https://en.wikipedia.org/wiki/Augustus,1,0,1,1,1,1,1,1,1,1,0,1,1,1
William Wallace,https://en.wikipedia.org/wiki/William_Wallace,1,0,1,1,1,1,1,1,1,1,0,1,1,1
Marco Polo,https://en.wikipedia.org/wiki/Marco_Polo,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Moses,https://en.wikipedia.org/wiki/Moses,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Robin Hood,https://en.wikipedia.org/wiki/Robin_Hood,1,0,1,0,0,1,0,1,1,0,0,1,0,1
Nero,https://en.wikipedia.org/wiki/Nero,1,0,1,1,0,1,1,1,1,1,1,1,1,1
Caligula,https://en.wikipedia.org/wiki/Caligula,1,0,1,1,0,1,1,1,1,1,1,1,1,1
Alfred the Great,https://en.wikipedia.org/wiki/Alfred_the_Great,1,0,1,1,0,1,1,1,1,1,1,1,1,1
Hannibal,https://en.wikipedia.org/wiki/Hannibal,1,0,1,1,0,1,1,1,1,1,0,1,1,1
Confucius,https://en.wikipedia.org/wiki/Confucius,1,0,1,1,1,1,1,1,1,1,0,1,1,1
Richard I of England,https://en.wikipedia.org/wiki/Richard_I_of_England,1,0,1,1,1,1,1,1,1,1,0,1,1,1
Pythagoras,https://en.wikipedia.org/wiki/Pythagoras,1,0,1,1,1,1,1,1,1,1,1,0,1,1
Abraham,https://en.wikipedia.org/wiki/Abraham,1,0,1,1,0,0,1,1,1,0,1,1,1,1
Ashoka,https://en.wikipedia.org/wiki/Ashoka,1,0,1,1,0,1,1,1,1,1,1,0,1,1
Mary Magdalene,https://en.wikipedia.org/wiki/Mary_Magdalene,1,0,1,1,0,1,1,1,1,1,1,0,1,1
