title,link
Coxsackie B virus,https://en.wikipedia.org/wiki/Coxsackie_B_virus
Creutzfeldt–Jakob disease,https://en.wikipedia.org/wiki/Creutzfeldt%E2%80%93Jakob_disease
Crimean-Congo hemorrhagic fever,https://en.wikipedia.org/wiki/Crimean-Congo_hemorrhagic_fever
Cryptococcosis,https://en.wikipedia.org/wiki/Cryptococcosis
Cryptosporidiosis,https://en.wikipedia.org/wiki/Cryptosporidiosis
Cutaneous larva migrans,https://en.wikipedia.org/wiki/Cutaneous_larva_migrans
Cyclosporiasis,https://en.wikipedia.org/wiki/Cyclosporiasis
Cysticercosis,https://en.wikipedia.org/wiki/Cysticercosis
Cytomegalovirus,https://en.wikipedia.org/wiki/Cytomegalovirus
Dengue fever,https://en.wikipedia.org/wiki/Dengue_fever
Desmodesmus,https://en.wikipedia.org/wiki/Desmodesmus
Dientamoebiasis,https://en.wikipedia.org/wiki/Dientamoebiasis
Diphtheria,https://en.wikipedia.org/wiki/Diphtheria
Diphyllobothriasis,https://en.wikipedia.org/wiki/Diphyllobothriasis
Dracunculiasis,https://en.wikipedia.org/wiki/Dracunculiasis
Eastern equine encephalitis,https://en.wikipedia.org/wiki/Eastern_equine_encephalitis
Ebola,https://en.wikipedia.org/wiki/Ebola
Echinococcosis,https://en.wikipedia.org/wiki/Echinococcosis
Ehrlichiosis,https://en.wikipedia.org/wiki/Ehrlichiosis
Enterobiasis,https://en.wikipedia.org/wiki/Enterobiasis
Enterococcus,https://en.wikipedia.org/wiki/Enterococcus
Enterovirus,https://en.wikipedia.org/wiki/Enterovirus
Epidemic typhus,https://en.wikipedia.org/wiki/Epidemic_typhus
Erythema infectiosum,https://en.wikipedia.org/wiki/Erythema_infectiosum
Exanthem subitum,https://en.wikipedia.org/wiki/Exanthem_subitum
Fasciolasis,https://en.wikipedia.org/wiki/Fasciolasis
Fasciolopsiasis,https://en.wikipedia.org/wiki/Fasciolopsiasis
Fatal familial insomnia,https://en.wikipedia.org/wiki/Fatal_familial_insomnia
Filariasis,https://en.wikipedia.org/wiki/Filariasis
Food poisoning,https://en.wikipedia.org/wiki/Food_poisoning
Free-living amebic infection,https://en.wikipedia.org/wiki/Free-living_amebic_infection
Fusobacterium,https://en.wikipedia.org/wiki/Fusobacterium
Gas gangrene,https://en.wikipedia.org/wiki/Gas_gangrene
Geotrichosis,https://en.wikipedia.org/wiki/Geotrichosis
Gerstmann-Sträussler-Scheinker syndrome,https://en.wikipedia.org/wiki/Gerstmann-Str%C3%A4ussler-Scheinker_syndrome
Giardiasis,https://en.wikipedia.org/wiki/Giardiasis
Glanders,https://en.wikipedia.org/wiki/Glanders
Gnathostomiasis,https://en.wikipedia.org/wiki/Gnathostomiasis
Gonorrhea,https://en.wikipedia.org/wiki/Gonorrhea
Granuloma inguinale,https://en.wikipedia.org/wiki/Granuloma_inguinale
Group A streptococcal infection,https://en.wikipedia.org/wiki/Group_A_streptococcal_infection
Group B streptococcal infection,https://en.wikipedia.org/wiki/Group_B_streptococcal_infection
Haemophilus influenzae,https://en.wikipedia.org/wiki/Haemophilus_influenzae
"Hand, foot and mouth disease","https://en.wikipedia.org/wiki/Hand,_foot_and_mouth_disease"
Hantavirus,https://en.wikipedia.org/wiki/Hantavirus
Heartland virus,https://en.wikipedia.org/wiki/Heartland_virus
Helicobacter pylori,https://en.wikipedia.org/wiki/Helicobacter_pylori
Hemolytic-uremic syndrome,https://en.wikipedia.org/wiki/Hemolytic-uremic_syndrome
Hemorrhagic fever with renal syndrome,https://en.wikipedia.org/wiki/Hemorrhagic_fever_with_renal_syndrome
Hendra virus,https://en.wikipedia.org/wiki/Hendra_virus
Hepatitis A,https://en.wikipedia.org/wiki/Hepatitis_A
Hepatitis B,https://en.wikipedia.org/wiki/Hepatitis_B
Hepatitis C,https://en.wikipedia.org/wiki/Hepatitis_C
Hepatitis D,https://en.wikipedia.org/wiki/Hepatitis_D
Hepatitis E,https://en.wikipedia.org/wiki/Hepatitis_E
Herpes simplex,https://en.wikipedia.org/wiki/Herpes_simplex
Histoplasmosis,https://en.wikipedia.org/wiki/Histoplasmosis
Hookworm,https://en.wikipedia.org/wiki/Hookworm
Human bocavirus,https://en.wikipedia.org/wiki/Human_bocavirus
Human ewingii ehrlichiosis,https://en.wikipedia.org/wiki/Human_ewingii_ehrlichiosis
Human granulocytic anaplasmosis,https://en.wikipedia.org/wiki/Human_granulocytic_anaplasmosis
Human metapneumovirus,https://en.wikipedia.org/wiki/Human_metapneumovirus
Human monocytic ehrlichiosis,https://en.wikipedia.org/wiki/Human_monocytic_ehrlichiosis
Human papillomavirus,https://en.wikipedia.org/wiki/Human_papillomavirus
Human parainfluenza virus,https://en.wikipedia.org/wiki/Human_parainfluenza_virus
Human T-lymphotropic virus 1,https://en.wikipedia.org/wiki/Human_T-lymphotropic_virus_1
Hymenolepiasis,https://en.wikipedia.org/wiki/Hymenolepiasis
Infectious mononucleosis,https://en.wikipedia.org/wiki/Infectious_mononucleosis
Influenza,https://en.wikipedia.org/wiki/Influenza
Isosporiasis,https://en.wikipedia.org/wiki/Isosporiasis
Japanese encephalitis,https://en.wikipedia.org/wiki/Japanese_encephalitis
Kawasaki disease,https://en.wikipedia.org/wiki/Kawasaki_disease
Keratitis,https://en.wikipedia.org/wiki/Keratitis
Kingella kingae,https://en.wikipedia.org/wiki/Kingella_kingae
Kuru (disease),https://en.wikipedia.org/wiki/Kuru_(disease)
Lassa fever,https://en.wikipedia.org/wiki/Lassa_fever
Legionellosis,https://en.wikipedia.org/wiki/Legionellosis
Pontiac fever,https://en.wikipedia.org/wiki/Pontiac_fever
Leishmaniasis,https://en.wikipedia.org/wiki/Leishmaniasis
Leprosy,https://en.wikipedia.org/wiki/Leprosy
Leptospirosis,https://en.wikipedia.org/wiki/Leptospirosis
Listeriosis,https://en.wikipedia.org/wiki/Listeriosis
Lyme disease,https://en.wikipedia.org/wiki/Lyme_disease
Lymphatic filariasis,https://en.wikipedia.org/wiki/Lymphatic_filariasis
Lymphocytic choriomeningitis,https://en.wikipedia.org/wiki/Lymphocytic_choriomeningitis
Malaria,https://en.wikipedia.org/wiki/Malaria
Marburg virus,https://en.wikipedia.org/wiki/Marburg_virus
Measles,https://en.wikipedia.org/wiki/Measles
Middle East respiratory syndrome,https://en.wikipedia.org/wiki/Middle_East_respiratory_syndrome
Melioidosis,https://en.wikipedia.org/wiki/Melioidosis
Meningitis,https://en.wikipedia.org/wiki/Meningitis
Meningococcal disease,https://en.wikipedia.org/wiki/Meningococcal_disease
Metagonimiasis,https://en.wikipedia.org/wiki/Metagonimiasis
Microsporidiosis,https://en.wikipedia.org/wiki/Microsporidiosis
Molluscum contagiosum,https://en.wikipedia.org/wiki/Molluscum_contagiosum
Monkeypox,https://en.wikipedia.org/wiki/Monkeypox
Mumps,https://en.wikipedia.org/wiki/Mumps
Murine typhus,https://en.wikipedia.org/wiki/Murine_typhus
Mycoplasma pneumonia,https://en.wikipedia.org/wiki/Mycoplasma_pneumonia
Mycoplasma genitalium,https://en.wikipedia.org/wiki/Mycoplasma_genitalium
Mycetoma,https://en.wikipedia.org/wiki/Mycetoma
Myiasis,https://en.wikipedia.org/wiki/Myiasis
Neonatal conjunctivitis,https://en.wikipedia.org/wiki/Neonatal_conjunctivitis
Nipah virus infection,https://en.wikipedia.org/wiki/Nipah_virus_infection
Norovirus,https://en.wikipedia.org/wiki/Norovirus
Nocardiosis,https://en.wikipedia.org/wiki/Nocardiosis
Onchocerciasis,https://en.wikipedia.org/wiki/Onchocerciasis
Opisthorchiasis,https://en.wikipedia.org/wiki/Opisthorchiasis
Paracoccidioidomycosis,https://en.wikipedia.org/wiki/Paracoccidioidomycosis
Paragonimiasis,https://en.wikipedia.org/wiki/Paragonimiasis
Pasteurellosis,https://en.wikipedia.org/wiki/Pasteurellosis
Pediculosis capitis,https://en.wikipedia.org/wiki/Pediculosis_capitis
Pediculosis corporis,https://en.wikipedia.org/wiki/Pediculosis_corporis
Pediculosis pubis,https://en.wikipedia.org/wiki/Pediculosis_pubis
Pelvic inflammatory disease,https://en.wikipedia.org/wiki/Pelvic_inflammatory_disease
Pertussis,https://en.wikipedia.org/wiki/Pertussis
Plague (disease),https://en.wikipedia.org/wiki/Plague_(disease)
Pneumococcal infection,https://en.wikipedia.org/wiki/Pneumococcal_infection
Pneumocystis pneumonia,https://en.wikipedia.org/wiki/Pneumocystis_pneumonia
Pneumonia,https://en.wikipedia.org/wiki/Pneumonia
Poliomyelitis,https://en.wikipedia.org/wiki/Poliomyelitis
Prevotella,https://en.wikipedia.org/wiki/Prevotella
Primary amoebic meningoencephalitis,https://en.wikipedia.org/wiki/Primary_amoebic_meningoencephalitis
Progressive multifocal leukoencephalopathy,https://en.wikipedia.org/wiki/Progressive_multifocal_leukoencephalopathy
Psittacosis,https://en.wikipedia.org/wiki/Psittacosis
Q fever,https://en.wikipedia.org/wiki/Q_fever
Rabies,https://en.wikipedia.org/wiki/Rabies
Relapsing fever,https://en.wikipedia.org/wiki/Relapsing_fever
Respiratory syncytial virus,https://en.wikipedia.org/wiki/Respiratory_syncytial_virus
Rhinosporidiosis,https://en.wikipedia.org/wiki/Rhinosporidiosis
Rhinovirus,https://en.wikipedia.org/wiki/Rhinovirus
Rickettsia,https://en.wikipedia.org/wiki/Rickettsia
Rickettsialpox,https://en.wikipedia.org/wiki/Rickettsialpox
Rift Valley fever,https://en.wikipedia.org/wiki/Rift_Valley_fever
Rocky Mountain spotted fever,https://en.wikipedia.org/wiki/Rocky_Mountain_spotted_fever
Rotavirus,https://en.wikipedia.org/wiki/Rotavirus
Rubella,https://en.wikipedia.org/wiki/Rubella
Salmonellosis,https://en.wikipedia.org/wiki/Salmonellosis
Severe acute respiratory syndrome,https://en.wikipedia.org/wiki/Severe_acute_respiratory_syndrome
Scabies,https://en.wikipedia.org/wiki/Scabies
Scarlet fever,https://en.wikipedia.org/wiki/Scarlet_fever
Schistosomiasis,https://en.wikipedia.org/wiki/Schistosomiasis
Sepsis,https://en.wikipedia.org/wiki/Sepsis
Shigellosis,https://en.wikipedia.org/wiki/Shigellosis
Shingles,https://en.wikipedia.org/wiki/Shingles
Smallpox,https://en.wikipedia.org/wiki/Smallpox
Sporotrichosis,https://en.wikipedia.org/wiki/Sporotrichosis
Staphylococcal food poisoning,https://en.wikipedia.org/wiki/Staphylococcal_food_poisoning
Staphylococcal infection,https://en.wikipedia.org/wiki/Staphylococcal_infection
Strongyloidiasis,https://en.wikipedia.org/wiki/Strongyloidiasis
Subacute sclerosing panencephalitis,https://en.wikipedia.org/wiki/Subacute_sclerosing_panencephalitis
Bejel,https://en.wikipedia.org/wiki/Bejel
Taeniasis,https://en.wikipedia.org/wiki/Taeniasis
Tetanus,https://en.wikipedia.org/wiki/Tetanus
Tick-borne encephalitis,https://en.wikipedia.org/wiki/Tick-borne_encephalitis
Tinea barbae,https://en.wikipedia.org/wiki/Tinea_barbae
Tinea capitis,https://en.wikipedia.org/wiki/Tinea_capitis
Tinea corporis,https://en.wikipedia.org/wiki/Tinea_corporis
Tinea cruris,https://en.wikipedia.org/wiki/Tinea_cruris
Tinea manum (page does not exist),https://en.wikipedia.org/w/index.php?title=Tinea_manum&action=edit&redlink=1
Tinea nigra,https://en.wikipedia.org/wiki/Tinea_nigra
Athlete’s foot,https://en.wikipedia.org/wiki/Athlete%E2%80%99s_foot
Onychomycosis,https://en.wikipedia.org/wiki/Onychomycosis
Tinea versicolor,https://en.wikipedia.org/wiki/Tinea_versicolor
Toxic shock syndrome,https://en.wikipedia.org/wiki/Toxic_shock_syndrome
Toxocariasis,https://en.wikipedia.org/wiki/Toxocariasis
Toxoplasmosis,https://en.wikipedia.org/wiki/Toxoplasmosis
Trachoma,https://en.wikipedia.org/wiki/Trachoma
Trichinosis,https://en.wikipedia.org/wiki/Trichinosis
Trichomoniasis,https://en.wikipedia.org/wiki/Trichomoniasis
Trichuriasis,https://en.wikipedia.org/wiki/Trichuriasis
Tuberculosis,https://en.wikipedia.org/wiki/Tuberculosis
Tularemia,https://en.wikipedia.org/wiki/Tularemia
Typhoid fever,https://en.wikipedia.org/wiki/Typhoid_fever
Typhus fever,https://en.wikipedia.org/wiki/Typhus_fever
Ureaplasma urealyticum,https://en.wikipedia.org/wiki/Ureaplasma_urealyticum
Valley fever,https://en.wikipedia.org/wiki/Valley_fever
Venezuelan equine encephalitis,https://en.wikipedia.org/wiki/Venezuelan_equine_encephalitis
Venezuelan hemorrhagic fever,https://en.wikipedia.org/wiki/Venezuelan_hemorrhagic_fever
Vibrio vulnificus,https://en.wikipedia.org/wiki/Vibrio_vulnificus
Vibrio parahaemolyticus,https://en.wikipedia.org/wiki/Vibrio_parahaemolyticus
Viral pneumonia,https://en.wikipedia.org/wiki/Viral_pneumonia
West Nile virus,https://en.wikipedia.org/wiki/West_Nile_virus
White piedra,https://en.wikipedia.org/wiki/White_piedra
Yersinia pseudotuberculosis,https://en.wikipedia.org/wiki/Yersinia_pseudotuberculosis
Yersiniosis,https://en.wikipedia.org/wiki/Yersiniosis
Yellow fever,https://en.wikipedia.org/wiki/Yellow_fever
Zeaspora,https://en.wikipedia.org/wiki/Zeaspora
Zika fever,https://en.wikipedia.org/wiki/Zika_fever
Zygomycosis,https://en.wikipedia.org/wiki/Zygomycosis
Transmissible spongiform encephalopathies,https://en.wikipedia.org/wiki/Transmissible_spongiform_encephalopathies
Visceral leishmaniasis,https://en.wikipedia.org/wiki/Visceral_leishmaniasis
Granulomatous amoebic encephalitis,https://en.wikipedia.org/wiki/Granulomatous_amoebic_encephalitis
AIDS,https://en.wikipedia.org/wiki/AIDS
Macacine alphaherpesvirus 1,https://en.wikipedia.org/wiki/Macacine_alphaherpesvirus_1
Influenza A virus subtype H5N1,https://en.wikipedia.org/wiki/Influenza_A_virus_subtype_H5N1
Mucormycosis,https://en.wikipedia.org/wiki/Mucormycosis
Ebola virus disease,https://en.wikipedia.org/wiki/Ebola_virus_disease
Marburg virus disease,https://en.wikipedia.org/wiki/Marburg_virus_disease
Cryptococcal meningitis,https://en.wikipedia.org/wiki/Cryptococcal_meningitis
Pneumonic plague,https://en.wikipedia.org/wiki/Pneumonic_plague
Septicemic plague,https://en.wikipedia.org/wiki/Septicemic_plague
Baylisascariasis,https://en.wikipedia.org/wiki/Baylisascariasis
Hantavirus infection,https://en.wikipedia.org/wiki/Hantavirus_infection
Middle Eastern Respiratory Syndrome,https://en.wikipedia.org/wiki/Middle_Eastern_Respiratory_Syndrome
Eastern equine encephalitis virus,https://en.wikipedia.org/wiki/Eastern_equine_encephalitis_virus
Varicella,https://en.wikipedia.org/wiki/Varicella
Hantavirus pulmonary syndrome,https://en.wikipedia.org/wiki/Hantavirus_pulmonary_syndrome
Severe acute respiratory syndrome (SARS),https://en.wikipedia.org/wiki/Severe_acute_respiratory_syndrome_(SARS)
Intestinal capillariasis,https://en.wikipedia.org/wiki/Intestinal_capillariasis
1918 flu pandemic,https://en.wikipedia.org/wiki/1918_flu_pandemic
Mumps,https://en.wikipedia.org/wiki/Mumps#Prognosis
Venezuelan equine encephalitis virus,https://en.wikipedia.org/wiki/Venezuelan_equine_encephalitis_virus
Polio,https://en.wikipedia.org/wiki/Polio
Influenza A virus subtype H2N2,https://en.wikipedia.org/wiki/Influenza_A_virus_subtype_H2N2#Asian_flu
Influenza A virus subtype H3N2,https://en.wikipedia.org/wiki/Influenza_A_virus_subtype_H3N2#Hong_Kong_Flu_(1968–1969)
Influenza A,https://en.wikipedia.org/wiki/Influenza_A
Cancer,https://en.wikipedia.org/wiki/Cancer
Color blindness,https://en.wikipedia.org/wiki/Color_blindness
Amyotrophic lateral sclerosis,https://en.wikipedia.org/wiki/Amyotrophic_lateral_sclerosis
Impetigo,https://en.wikipedia.org/wiki/Impetigo
Alzheimer,https://en.wikipedia.org/wiki/Alzheimer
Sickle-cell disease,https://en.wikipedia.org/wiki/Sickle-cell_disease
Chronic obstructive pulmonary disease,https://en.wikipedia.org/wiki/Chronic_obstructive_pulmonary_disease
HIV,https://en.wikipedia.org/wiki/HIV
SARS-CoV-2,https://en.wikipedia.org/wiki/SARS-CoV-2
1p36 deletion syndrome,https://en.wikipedia.org/wiki/1p36_deletion_syndrome
1q21.1 deletion syndrome,https://en.wikipedia.org/wiki/1q21.1_deletion_syndrome
2q37 deletion syndrome,https://en.wikipedia.org/wiki/2q37_deletion_syndrome
Chromosome 5q deletion syndrome,https://en.wikipedia.org/wiki/Chromosome_5q_deletion_syndrome
"5,10-methenyltetrahydrofolate synthetase deficiency","https://en.wikipedia.org/wiki/5,10-methenyltetrahydrofolate_synthetase_deficiency"
17q12 microdeletion syndrome,https://en.wikipedia.org/wiki/17q12_microdeletion_syndrome
17q12 microduplication syndrome,https://en.wikipedia.org/wiki/17q12_microduplication_syndrome
18p-,https://en.wikipedia.org/wiki/18p-
21-hydroxylase deficiency,https://en.wikipedia.org/wiki/21-hydroxylase_deficiency
Alpha 1-antitrypsin deficiency,https://en.wikipedia.org/wiki/Alpha_1-antitrypsin_deficiency
Triple-A syndrome,https://en.wikipedia.org/wiki/Triple-A_syndrome
Aarskog–Scott syndrome,https://en.wikipedia.org/wiki/Aarskog%E2%80%93Scott_syndrome
ABCD syndrome,https://en.wikipedia.org/wiki/ABCD_syndrome
Aceruloplasminemia,https://en.wikipedia.org/wiki/Aceruloplasminemia
Acheiropodia,https://en.wikipedia.org/wiki/Acheiropodia
Achondrogenesis type II,https://en.wikipedia.org/wiki/Achondrogenesis_type_II
Achondroplasia,https://en.wikipedia.org/wiki/Achondroplasia
Acute intermittent porphyria,https://en.wikipedia.org/wiki/Acute_intermittent_porphyria
Adenylosuccinate lyase deficiency,https://en.wikipedia.org/wiki/Adenylosuccinate_lyase_deficiency
Adrenoleukodystrophy,https://en.wikipedia.org/wiki/Adrenoleukodystrophy
Alagille syndrome,https://en.wikipedia.org/wiki/Alagille_syndrome
ADULT syndrome,https://en.wikipedia.org/wiki/ADULT_syndrome
Aicardi–Goutières syndrome,https://en.wikipedia.org/wiki/Aicardi%E2%80%93Gouti%C3%A8res_syndrome
Albinism in humans,https://en.wikipedia.org/wiki/Albinism_in_humans
Alexander disease,https://en.wikipedia.org/wiki/Alexander_disease
Monosomy 9p,https://en.wikipedia.org/wiki/Monosomy_9p
Alkaptonuria,https://en.wikipedia.org/wiki/Alkaptonuria
Alport syndrome,https://en.wikipedia.org/wiki/Alport_syndrome
Alternating hemiplegia of childhood,https://en.wikipedia.org/wiki/Alternating_hemiplegia_of_childhood
Alström syndrome,https://en.wikipedia.org/wiki/Alstr%C3%B6m_syndrome
Alzheimer's disease,https://en.wikipedia.org/wiki/Alzheimer%27s_disease
Amelogenesis imperfecta,https://en.wikipedia.org/wiki/Amelogenesis_imperfecta
Aminolevulinic acid dehydratase deficiency porphyria,https://en.wikipedia.org/wiki/Aminolevulinic_acid_dehydratase_deficiency_porphyria
Androgen insensitivity syndrome,https://en.wikipedia.org/wiki/Androgen_insensitivity_syndrome
Angelman syndrome,https://en.wikipedia.org/wiki/Angelman_syndrome
Apert syndrome,https://en.wikipedia.org/wiki/Apert_syndrome
Arthrogryposis–renal dysfunction–cholestasis syndrome,https://en.wikipedia.org/wiki/Arthrogryposis%E2%80%93renal_dysfunction%E2%80%93cholestasis_syndrome
Ataxia telangiectasia,https://en.wikipedia.org/wiki/Ataxia_telangiectasia
Axenfeld syndrome,https://en.wikipedia.org/wiki/Axenfeld_syndrome
Beare–Stevenson cutis gyrata syndrome,https://en.wikipedia.org/wiki/Beare%E2%80%93Stevenson_cutis_gyrata_syndrome
Beckwith–Wiedemann syndrome,https://en.wikipedia.org/wiki/Beckwith%E2%80%93Wiedemann_syndrome
Benjamin syndrome,https://en.wikipedia.org/wiki/Benjamin_syndrome
Biotinidase deficiency,https://en.wikipedia.org/wiki/Biotinidase_deficiency
Björnstad syndrome,https://en.wikipedia.org/wiki/Bj%C3%B6rnstad_syndrome
Bloom syndrome,https://en.wikipedia.org/wiki/Bloom_syndrome
Birt–Hogg–Dubé syndrome,https://en.wikipedia.org/wiki/Birt%E2%80%93Hogg%E2%80%93Dub%C3%A9_syndrome
Brody myopathy,https://en.wikipedia.org/wiki/Brody_myopathy
Brunner syndrome,https://en.wikipedia.org/wiki/Brunner_syndrome
CADASIL syndrome,https://en.wikipedia.org/wiki/CADASIL_syndrome
Cat eye syndrome,https://en.wikipedia.org/wiki/Cat_eye_syndrome
Cerebral autosomal recessive arteriopathy with subcortical infarcts and leukoencephalopathy,https://en.wikipedia.org/wiki/Cerebral_autosomal_recessive_arteriopathy_with_subcortical_infarcts_and_leukoencephalopathy
Chronic granulomatous disorder,https://en.wikipedia.org/wiki/Chronic_granulomatous_disorder
Campomelic dysplasia,https://en.wikipedia.org/wiki/Campomelic_dysplasia
Canavan disease,https://en.wikipedia.org/wiki/Canavan_disease
Carpenter syndrome,https://en.wikipedia.org/wiki/Carpenter_syndrome
CDKL5 Deficiency Disorder,https://en.wikipedia.org/wiki/CDKL5_Deficiency_Disorder
Cerebral dysgenesis–neuropathy–ichthyosis–keratoderma syndrome,https://en.wikipedia.org/wiki/Cerebral_dysgenesis%E2%80%93neuropathy%E2%80%93ichthyosis%E2%80%93keratoderma_syndrome
Cystic fibrosis,https://en.wikipedia.org/wiki/Cystic_fibrosis
Charcot–Marie–Tooth disease,https://en.wikipedia.org/wiki/Charcot%E2%80%93Marie%E2%80%93Tooth_disease
CHARGE syndrome,https://en.wikipedia.org/wiki/CHARGE_syndrome
Chédiak–Higashi syndrome,https://en.wikipedia.org/wiki/Ch%C3%A9diak%E2%80%93Higashi_syndrome
"Chondrodysplasia, Grebe type","https://en.wikipedia.org/wiki/Chondrodysplasia,_Grebe_type"
Cleidocranial dysostosis,https://en.wikipedia.org/wiki/Cleidocranial_dysostosis
Cockayne syndrome,https://en.wikipedia.org/wiki/Cockayne_syndrome
Coffin–Lowry syndrome,https://en.wikipedia.org/wiki/Coffin%E2%80%93Lowry_syndrome
Cohen syndrome,https://en.wikipedia.org/wiki/Cohen_syndrome
"Collagenopathy, types II and XI","https://en.wikipedia.org/wiki/Collagenopathy,_types_II_and_XI"
Congenital insensitivity to pain with anhidrosis,https://en.wikipedia.org/wiki/Congenital_insensitivity_to_pain_with_anhidrosis
Congenital muscular dystrophy,https://en.wikipedia.org/wiki/Congenital_muscular_dystrophy
Cornelia de Lange syndrome,https://en.wikipedia.org/wiki/Cornelia_de_Lange_syndrome
Cowden syndrome,https://en.wikipedia.org/wiki/Cowden_syndrome
Hereditary coproporphyria,https://en.wikipedia.org/wiki/Hereditary_coproporphyria
Cranio-lenticulo-sutural dysplasia,https://en.wikipedia.org/wiki/Cranio-lenticulo-sutural_dysplasia
Cri du chat,https://en.wikipedia.org/wiki/Cri_du_chat
Crohn's disease,https://en.wikipedia.org/wiki/Crohn%27s_disease
Crouzon syndrome,https://en.wikipedia.org/wiki/Crouzon_syndrome
Crouzonodermoskeletal syndrome,https://en.wikipedia.org/wiki/Crouzonodermoskeletal_syndrome
Currarino syndrome,https://en.wikipedia.org/wiki/Currarino_syndrome
Darier's disease,https://en.wikipedia.org/wiki/Darier%27s_disease
Dent's disease,https://en.wikipedia.org/wiki/Dent%27s_disease
Denys–Drash syndrome,https://en.wikipedia.org/wiki/Denys%E2%80%93Drash_syndrome
De Grouchy syndrome,https://en.wikipedia.org/wiki/De_Grouchy_syndrome
Down syndrome,https://en.wikipedia.org/wiki/Down_syndrome
DiGeorge syndrome,https://en.wikipedia.org/wiki/DiGeorge_syndrome
Distal hereditary motor neuropathy,https://en.wikipedia.org/wiki/Distal_hereditary_motor_neuropathy
Distal muscular dystrophy,https://en.wikipedia.org/wiki/Distal_muscular_dystrophy
Duchenne muscular dystrophy,https://en.wikipedia.org/wiki/Duchenne_muscular_dystrophy
