title,link,en,de,fr,es,nl,ko,ceb,ar,sv,ru,hi,tr,zh,af
Felis,https://en.wikipedia.org/wiki/Felis,1,1,1,1,1,0,1,1,1,1,1,1,1,1
Lynx,https://en.wikipedia.org/wiki/Lynx,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Puma (genus),https://en.wikipedia.org/wiki/Puma_(genus),1,1,1,1,1,1,1,1,1,1,1,1,1,1
Panthera,https://en.wikipedia.org/wiki/Panthera,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Suidae,https://en.wikipedia.org/wiki/Suidae,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Procyonidae,https://en.wikipedia.org/wiki/Procyonidae,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Raccoon,https://en.wikipedia.org/wiki/Raccoon,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Viverridae,https://en.wikipedia.org/wiki/Viverridae,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Civet,https://en.wikipedia.org/wiki/Civet,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mustelidae,https://en.wikipedia.org/wiki/Mustelidae,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ferret,https://en.wikipedia.org/wiki/Ferret,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Leporidae,https://en.wikipedia.org/wiki/Leporidae,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Osteichthyes,https://en.wikipedia.org/wiki/Osteichthyes,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Shoaling and schooling,https://en.wikipedia.org/wiki/Shoaling_and_schooling,1,0,0,0,0,1,1,1,0,1,1,1,1,1
Bony fish,https://en.wikipedia.org/wiki/Bony_fish,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Meat,https://en.wikipedia.org/wiki/Meat,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Aardvark,https://en.wikipedia.org/wiki/Aardvark,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Albatross,https://en.wikipedia.org/wiki/Albatross,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Alligator,https://en.wikipedia.org/wiki/Alligator,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Alpaca,https://en.wikipedia.org/wiki/Alpaca,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Anole,https://en.wikipedia.org/wiki/Anole,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Ant,https://en.wikipedia.org/wiki/Ant,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Swarm,https://en.wikipedia.org/wiki/Swarm,1,0,1,1,1,1,1,0,0,1,0,0,0,1
Anteater,https://en.wikipedia.org/wiki/Anteater,1,1,1,1,1,1,1,1,0,1,1,0,1,1
Antelope,https://en.wikipedia.org/wiki/Antelope,1,0,1,0,1,0,1,1,1,1,1,1,1,1
Ape,https://en.wikipedia.org/wiki/Ape,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Armadillo,https://en.wikipedia.org/wiki/Armadillo,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Jenny (donkey),https://en.wikipedia.org/wiki/Jenny_(donkey),1,1,1,1,1,1,1,1,1,1,1,1,1,1
Baboon,https://en.wikipedia.org/wiki/Baboon,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Badger,https://en.wikipedia.org/wiki/Badger,1,1,1,0,1,1,1,1,1,1,0,1,1,1
Barracuda,https://en.wikipedia.org/wiki/Barracuda,1,1,1,1,1,1,1,1,1,1,0,0,1,1
Bat,https://en.wikipedia.org/wiki/Bat,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bear,https://en.wikipedia.org/wiki/Bear,1,1,1,1,1,1,1,1,1,1,1,1,1,1
List of bears,https://en.wikipedia.org/wiki/List_of_bears,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Beaver,https://en.wikipedia.org/wiki/Beaver,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bee,https://en.wikipedia.org/wiki/Bee,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Binturong,https://en.wikipedia.org/wiki/Binturong,1,1,1,1,1,1,1,1,1,1,1,1,1,1
List of birds,https://en.wikipedia.org/wiki/List_of_birds,0,1,1,0,0,1,1,1,1,1,1,0,1,1
Bison,https://en.wikipedia.org/wiki/Bison,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Bluebird,https://en.wikipedia.org/wiki/Bluebird,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Boar,https://en.wikipedia.org/wiki/Boar,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bobcat,https://en.wikipedia.org/wiki/Bobcat,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Budgerigar,https://en.wikipedia.org/wiki/Budgerigar,1,1,1,1,1,1,1,1,1,1,0,1,1,1
African buffalo,https://en.wikipedia.org/wiki/African_buffalo,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Butterfly,https://en.wikipedia.org/wiki/Butterfly,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Camel,https://en.wikipedia.org/wiki/Camel,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Flocking (behaviour),https://en.wikipedia.org/wiki/Flocking_(behaviour),0,1,0,0,1,1,1,1,0,0,1,1,1,1
Capybara,https://en.wikipedia.org/wiki/Capybara,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Caracal,https://en.wikipedia.org/wiki/Caracal,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Caribou,https://en.wikipedia.org/wiki/Caribou,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Cassowary,https://en.wikipedia.org/wiki/Cassowary,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Cat,https://en.wikipedia.org/wiki/Cat,1,1,1,1,1,1,1,1,1,1,1,1,1,1
List of cat breeds,https://en.wikipedia.org/wiki/List_of_cat_breeds,0,0,0,0,0,1,1,0,0,0,1,1,0,0
Kitten,https://en.wikipedia.org/wiki/Kitten,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Caterpillar,https://en.wikipedia.org/wiki/Caterpillar,0,0,0,0,0,0,1,0,0,0,0,0,1,0
List of cattle breeds,https://en.wikipedia.org/wiki/List_of_cattle_breeds,0,0,0,0,0,0,1,1,0,0,0,0,1,0
Calf (animal),https://en.wikipedia.org/wiki/Calf_(animal),0,0,0,0,0,0,1,1,0,0,0,0,0,0
Bull,https://en.wikipedia.org/wiki/Bull,0,0,0,0,0,0,1,1,0,0,0,1,0,0
Beef,https://en.wikipedia.org/wiki/Beef,1,0,0,0,0,1,1,0,0,0,0,0,1,0
Veal,https://en.wikipedia.org/wiki/Veal,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Chamois,https://en.wikipedia.org/wiki/Chamois,1,1,1,1,1,1,1,1,1,1,0,1,1,0
Cheetah,https://en.wikipedia.org/wiki/Cheetah,1,1,1,1,1,1,1,1,1,1,1,1,1,1
List of chicken breeds,https://en.wikipedia.org/wiki/List_of_chicken_breeds,0,0,0,1,0,1,1,0,1,0,1,0,1,0
Rooster,https://en.wikipedia.org/wiki/Rooster,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Capon,https://en.wikipedia.org/wiki/Capon,0,0,0,0,0,1,1,1,0,0,0,1,0,1
Poultry,https://en.wikipedia.org/wiki/Poultry,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Chimpanzee,https://en.wikipedia.org/wiki/Chimpanzee,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Chinchilla,https://en.wikipedia.org/wiki/Chinchilla,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Chough,https://en.wikipedia.org/wiki/Chough,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Coati,https://en.wikipedia.org/wiki/Coati,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cobra,https://en.wikipedia.org/wiki/Cobra,1,1,1,1,1,1,1,1,0,1,1,1,1,1
Cockroach,https://en.wikipedia.org/wiki/Cockroach,1,0,1,1,1,1,1,1,0,1,1,1,1,1
Cod,https://en.wikipedia.org/wiki/Cod,1,0,1,1,1,1,1,1,0,1,1,1,0,1
Cormorant,https://en.wikipedia.org/wiki/Cormorant,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cougar,https://en.wikipedia.org/wiki/Cougar,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Coyote,https://en.wikipedia.org/wiki/Coyote,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Crab,https://en.wikipedia.org/wiki/Crab,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Crane (bird),https://en.wikipedia.org/wiki/Crane_(bird),1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cricket (insect),https://en.wikipedia.org/wiki/Cricket_(insect),1,1,1,1,1,1,1,1,1,1,1,1,1,1
Crocodile,https://en.wikipedia.org/wiki/Crocodile,1,1,1,1,1,0,1,1,1,1,1,1,1,1
Crow,https://en.wikipedia.org/wiki/Crow,0,1,1,1,1,0,1,1,1,1,1,1,1,1
Cuckoo,https://en.wikipedia.org/wiki/Cuckoo,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Curlew,https://en.wikipedia.org/wiki/Curlew,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Deer,https://en.wikipedia.org/wiki/Deer,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Venison,https://en.wikipedia.org/wiki/Venison,0,1,0,0,1,0,1,1,1,0,1,1,1,1
Dhole,https://en.wikipedia.org/wiki/Dhole,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dingo,https://en.wikipedia.org/wiki/Dingo,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dinosaur,https://en.wikipedia.org/wiki/Dinosaur,1,1,1,1,1,1,1,1,1,1,1,1,1,1
List of dinosaur genera,https://en.wikipedia.org/wiki/List_of_dinosaur_genera,0,1,0,0,0,0,0,0,0,0,1,0,0,1
List of dog breeds,https://en.wikipedia.org/wiki/List_of_dog_breeds,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Squalidae,https://en.wikipedia.org/wiki/Squalidae,1,1,1,1,1,1,1,1,1,1,0,0,1,1
Spiny dogfish,https://en.wikipedia.org/wiki/Spiny_dogfish,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Flake (fish),https://en.wikipedia.org/wiki/Flake_(fish),0,1,1,1,1,1,1,1,1,1,0,1,1,1
Rock salmon,https://en.wikipedia.org/wiki/Rock_salmon,0,1,1,1,1,1,1,0,1,1,0,1,1,1
Dolphin,https://en.wikipedia.org/wiki/Dolphin,1,1,1,1,1,1,1,1,1,1,0,1,0,1
List of donkey breeds,https://en.wikipedia.org/wiki/List_of_donkey_breeds,0,0,0,1,0,1,1,1,1,1,0,1,0,1
Dove,https://en.wikipedia.org/wiki/Dove,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Dragonfly,https://en.wikipedia.org/wiki/Dragonfly,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Duck,https://en.wikipedia.org/wiki/Duck,1,1,1,0,1,1,1,1,1,1,1,1,1,1
List of duck breeds,https://en.wikipedia.org/wiki/List_of_duck_breeds,0,0,0,0,1,1,1,0,1,0,1,0,1,1
Dugong,https://en.wikipedia.org/wiki/Dugong,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dunlin,https://en.wikipedia.org/wiki/Dunlin,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Eagle,https://en.wikipedia.org/wiki/Eagle,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Echidna,https://en.wikipedia.org/wiki/Echidna,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Eel,https://en.wikipedia.org/wiki/Eel,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Taurotragus,https://en.wikipedia.org/wiki/Taurotragus,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Elephant,https://en.wikipedia.org/wiki/Elephant,1,1,1,1,1,1,1,1,0,1,1,1,1,1
Elephant seal,https://en.wikipedia.org/wiki/Elephant_seal,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Elk,https://en.wikipedia.org/wiki/Elk,1,1,1,1,1,1,1,1,1,0,0,1,1,1
Emu,https://en.wikipedia.org/wiki/Emu,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Falcon,https://en.wikipedia.org/wiki/Falcon,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Finch,https://en.wikipedia.org/wiki/Finch,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Fish,https://en.wikipedia.org/wiki/Fish,1,0,1,1,1,1,1,1,1,1,0,0,1,1
List of common fish names,https://en.wikipedia.org/wiki/List_of_common_fish_names,0,0,0,1,0,1,1,1,1,1,0,0,1,0
Fisher (animal),https://en.wikipedia.org/wiki/Fisher_(animal),1,1,1,1,1,1,1,1,1,1,0,0,1,0
Flamingo,https://en.wikipedia.org/wiki/Flamingo,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Fly,https://en.wikipedia.org/wiki/Fly,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Old World flycatcher,https://en.wikipedia.org/wiki/Old_World_flycatcher,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Fox,https://en.wikipedia.org/wiki/Fox,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Vixen,https://en.wikipedia.org/wiki/Vixen,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Frog,https://en.wikipedia.org/wiki/Frog,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Gaur,https://en.wikipedia.org/wiki/Gaur,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Gazelle,https://en.wikipedia.org/wiki/Gazelle,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Gecko,https://en.wikipedia.org/wiki/Gecko,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Herpetoculture,https://en.wikipedia.org/wiki/Herpetoculture,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Genet (animal),https://en.wikipedia.org/wiki/Genet_(animal),1,1,1,1,1,1,1,1,1,1,1,1,1,1
Gerbil,https://en.wikipedia.org/wiki/Gerbil,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Giant panda,https://en.wikipedia.org/wiki/Giant_panda,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Giraffe,https://en.wikipedia.org/wiki/Giraffe,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Gnat,https://en.wikipedia.org/wiki/Gnat,0,1,1,1,1,1,1,0,1,1,0,1,1,1
Wildebeest,https://en.wikipedia.org/wiki/Wildebeest,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Goat,https://en.wikipedia.org/wiki/Goat,1,1,1,1,1,1,1,1,1,1,1,1,1,1
List of goat breeds,https://en.wikipedia.org/wiki/List_of_goat_breeds,0,0,0,1,0,1,1,0,1,0,1,1,1,1
Goat meat,https://en.wikipedia.org/wiki/Goat_meat,0,0,0,0,0,0,1,0,1,0,1,1,1,0
Lamb and mutton,https://en.wikipedia.org/wiki/Lamb_and_mutton,0,0,0,0,0,0,1,0,0,0,1,0,1,0
European goldfinch,https://en.wikipedia.org/wiki/European_goldfinch,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Common merganser,https://en.wikipedia.org/wiki/Common_merganser,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Goose,https://en.wikipedia.org/wiki/Goose,0,1,1,0,0,1,1,1,1,1,1,1,1,1
Wikipedia:Citation needed,https://en.wikipedia.org/wiki/Wikipedia:Citation_needed,0,0,0,0,0,0,1,0,1,1,0,1,0,1
Gorilla,https://en.wikipedia.org/wiki/Gorilla,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Blackback,https://en.wikipedia.org/wiki/Blackback,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Silverback,https://en.wikipedia.org/wiki/Silverback,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Goshawk,https://en.wikipedia.org/wiki/Goshawk,0,1,1,1,1,1,1,1,1,1,0,1,1,1
Grasshopper,https://en.wikipedia.org/wiki/Grasshopper,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Grouse,https://en.wikipedia.org/wiki/Grouse,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Guanaco,https://en.wikipedia.org/wiki/Guanaco,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Guinea fowl,https://en.wikipedia.org/wiki/Guinea_fowl,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Guinea pig,https://en.wikipedia.org/wiki/Guinea_pig,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Guinea pig,https://en.wikipedia.org/wiki/Guinea_pig#As_food,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Gull,https://en.wikipedia.org/wiki/Gull,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hamster,https://en.wikipedia.org/wiki/Hamster,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Hare,https://en.wikipedia.org/wiki/Hare,1,1,1,1,1,1,1,1,1,1,1,0,1,0
Hawk,https://en.wikipedia.org/wiki/Hawk,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Kettle (birds),https://en.wikipedia.org/wiki/Kettle_(birds),0,1,1,1,1,1,1,1,1,1,1,1,1,0
Hedgehog,https://en.wikipedia.org/wiki/Hedgehog,1,1,1,1,1,1,1,1,1,1,0,1,1,0
Hermit crab,https://en.wikipedia.org/wiki/Hermit_crab,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Heron,https://en.wikipedia.org/wiki/Heron,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Herring,https://en.wikipedia.org/wiki/Herring,1,1,0,1,1,1,1,1,1,1,1,1,0,1
Hippopotamus,https://en.wikipedia.org/wiki/Hippopotamus,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hoatzin,https://en.wikipedia.org/wiki/Hoatzin,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hoopoe,https://en.wikipedia.org/wiki/Hoopoe,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hornet,https://en.wikipedia.org/wiki/Hornet,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Horse,https://en.wikipedia.org/wiki/Horse,1,1,1,1,1,1,1,1,1,1,1,1,1,1
List of horse breeds,https://en.wikipedia.org/wiki/List_of_horse_breeds,0,0,0,0,0,1,1,0,0,0,1,1,1,1
Foal,https://en.wikipedia.org/wiki/Foal,0,0,0,0,0,1,1,0,0,0,1,1,1,1
Gelding,https://en.wikipedia.org/wiki/Gelding,0,0,0,0,0,0,1,0,0,0,1,1,0,1
Mare,https://en.wikipedia.org/wiki/Mare,0,0,0,0,0,0,1,0,0,0,1,1,0,1
Stallion (horse),https://en.wikipedia.org/wiki/Stallion_(horse),0,0,0,0,0,0,1,0,0,0,1,0,0,1
Human,https://en.wikipedia.org/wiki/Human,1,1,1,1,1,1,1,1,1,0,1,1,1,1
Hummingbird,https://en.wikipedia.org/wiki/Hummingbird,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Hyena,https://en.wikipedia.org/wiki/Hyena,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ibex,https://en.wikipedia.org/wiki/Ibex,0,0,0,1,0,1,1,0,1,1,1,1,1,1
Ibis,https://en.wikipedia.org/wiki/Ibis,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Iguana,https://en.wikipedia.org/wiki/Iguana,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Impala,https://en.wikipedia.org/wiki/Impala,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Jackal,https://en.wikipedia.org/wiki/Jackal,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Jaguar,https://en.wikipedia.org/wiki/Jaguar,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jay,https://en.wikipedia.org/wiki/Jay,1,1,1,1,1,1,1,1,1,0,1,1,1,1
Jellyfish,https://en.wikipedia.org/wiki/Jellyfish,1,0,1,1,1,1,1,1,0,0,1,1,1,1
Planula,https://en.wikipedia.org/wiki/Planula,0,0,0,0,0,1,1,0,0,0,1,1,0,1
Polyp (zoology),https://en.wikipedia.org/wiki/Polyp_(zoology),0,0,0,0,0,0,1,0,0,0,1,1,0,0
Jellyfish,https://en.wikipedia.org/wiki/Jellyfish#Blooms,1,0,1,1,1,1,1,1,0,0,1,1,1,1
Scyphozoa,https://en.wikipedia.org/wiki/Scyphozoa,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Jerboa,https://en.wikipedia.org/wiki/Jerboa,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Kangaroo,https://en.wikipedia.org/wiki/Kangaroo,1,1,1,1,1,1,1,1,0,1,1,1,1,1
Kingbird,https://en.wikipedia.org/wiki/Kingbird,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Kingfisher,https://en.wikipedia.org/wiki/Kingfisher,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Kinkajou,https://en.wikipedia.org/wiki/Kinkajou,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Kite (bird),https://en.wikipedia.org/wiki/Kite_(bird),1,1,1,1,0,1,1,1,1,1,1,1,1,1
Koala,https://en.wikipedia.org/wiki/Koala,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Kodkod,https://en.wikipedia.org/wiki/Kodkod,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Komodo dragon,https://en.wikipedia.org/wiki/Komodo_dragon,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Kookaburra,https://en.wikipedia.org/wiki/Kookaburra,1,1,1,1,1,1,1,1,1,1,1,1,0,1
Kouprey,https://en.wikipedia.org/wiki/Kouprey,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Kudu,https://en.wikipedia.org/wiki/Kudu,0,1,0,1,1,0,1,1,1,1,1,1,1,1
Gray langur,https://en.wikipedia.org/wiki/Gray_langur,1,1,1,1,1,1,1,0,1,1,1,1,1,1
Lapwing,https://en.wikipedia.org/wiki/Lapwing,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Lark,https://en.wikipedia.org/wiki/Lark,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Lechwe,https://en.wikipedia.org/wiki/Lechwe,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Lemur,https://en.wikipedia.org/wiki/Lemur,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Leopard,https://en.wikipedia.org/wiki/Leopard,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Lion,https://en.wikipedia.org/wiki/Lion,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Lizard,https://en.wikipedia.org/wiki/Lizard,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Llama,https://en.wikipedia.org/wiki/Llama,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Lobster,https://en.wikipedia.org/wiki/Lobster,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Locust,https://en.wikipedia.org/wiki/Locust,0,0,1,0,1,1,1,1,0,1,0,1,1,1
List of locust species,https://en.wikipedia.org/wiki/List_of_locust_species,0,0,1,0,0,1,1,1,0,1,0,1,1,1
Loris,https://en.wikipedia.org/wiki/Loris,1,0,1,1,1,1,1,1,0,1,1,1,1,1
Louse,https://en.wikipedia.org/wiki/Louse,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Lyrebird,https://en.wikipedia.org/wiki/Lyrebird,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Macaque,https://en.wikipedia.org/wiki/Macaque,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Macaw,https://en.wikipedia.org/wiki/Macaw,1,1,1,1,1,1,1,1,1,1,0,1,0,1
Magpie,https://en.wikipedia.org/wiki/Magpie,1,1,1,1,1,0,1,1,1,1,0,1,0,1
Mallard,https://en.wikipedia.org/wiki/Mallard,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mammoth,https://en.wikipedia.org/wiki/Mammoth,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Manatee,https://en.wikipedia.org/wiki/Manatee,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mandrill,https://en.wikipedia.org/wiki/Mandrill,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Margay,https://en.wikipedia.org/wiki/Margay,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Marmoset,https://en.wikipedia.org/wiki/Marmoset,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Marmot,https://en.wikipedia.org/wiki/Marmot,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Meerkat,https://en.wikipedia.org/wiki/Meerkat,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mink,https://en.wikipedia.org/wiki/Mink,1,0,1,0,1,1,1,1,1,1,1,1,1,1
Mole (animal),https://en.wikipedia.org/wiki/Mole_(animal),0,1,1,0,1,1,1,1,1,1,1,1,0,1
Mongoose,https://en.wikipedia.org/wiki/Mongoose,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Monkey,https://en.wikipedia.org/wiki/Monkey,1,1,0,0,1,1,1,1,1,1,1,1,1,1
Moose,https://en.wikipedia.org/wiki/Moose,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mosquito,https://en.wikipedia.org/wiki/Mosquito,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Mouse,https://en.wikipedia.org/wiki/Mouse,0,1,1,1,0,0,1,1,1,1,0,1,1,1
