title,link,en,de,fr,es,nl,ar,hi,tr,af,zh,ceb,ko,sv,ru
Mozambique,https://en.wikipedia.org/wiki/Mozambique,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Turkey,https://en.wikipedia.org/wiki/Turkey,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Chile,https://en.wikipedia.org/wiki/Chile,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Zambia,https://en.wikipedia.org/wiki/Zambia,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Myanmar,https://en.wikipedia.org/wiki/Myanmar,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Afghanistan,https://en.wikipedia.org/wiki/Afghanistan,1,1,1,1,1,1,1,1,1,1,0,1,1,1
South Sudan,https://en.wikipedia.org/wiki/South_Sudan,1,1,1,1,1,1,1,1,1,1,0,1,1,1
France,https://en.wikipedia.org/wiki/France,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Somalia,https://en.wikipedia.org/wiki/Somalia,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Central African Republic,https://en.wikipedia.org/wiki/Central_African_Republic,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Ukraine,https://en.wikipedia.org/wiki/Ukraine,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Madagascar,https://en.wikipedia.org/wiki/Madagascar,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Botswana,https://en.wikipedia.org/wiki/Botswana,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Kenya,https://en.wikipedia.org/wiki/Kenya,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Yemen,https://en.wikipedia.org/wiki/Yemen,1,1,1,1,1,1,1,1,1,1,0,1,1,1
France,https://en.wikipedia.org/wiki/France,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Thailand,https://en.wikipedia.org/wiki/Thailand,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Spain,https://en.wikipedia.org/wiki/Spain,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Turkmenistan,https://en.wikipedia.org/wiki/Turkmenistan,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Cameroon,https://en.wikipedia.org/wiki/Cameroon,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Papua New Guinea,https://en.wikipedia.org/wiki/Papua_New_Guinea,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Sweden,https://en.wikipedia.org/wiki/Sweden,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Uzbekistan,https://en.wikipedia.org/wiki/Uzbekistan,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Morocco,https://en.wikipedia.org/wiki/Morocco,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Iraq,https://en.wikipedia.org/wiki/Iraq,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Paraguay,https://en.wikipedia.org/wiki/Paraguay,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Zimbabwe,https://en.wikipedia.org/wiki/Zimbabwe,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Norway,https://en.wikipedia.org/wiki/Norway,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Japan,https://en.wikipedia.org/wiki/Japan,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Germany,https://en.wikipedia.org/wiki/Germany,1,1,1,1,1,1,0,1,1,1,0,1,1,1
Republic of the Congo,https://en.wikipedia.org/wiki/Republic_of_the_Congo,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Finland,https://en.wikipedia.org/wiki/Finland,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Vietnam,https://en.wikipedia.org/wiki/Vietnam,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Malaysia,https://en.wikipedia.org/wiki/Malaysia,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Norway,https://en.wikipedia.org/wiki/Norway,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Ivory Coast,https://en.wikipedia.org/wiki/Ivory_Coast,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Poland,https://en.wikipedia.org/wiki/Poland,1,1,1,1,1,1,0,1,1,1,1,1,1,1
Oman,https://en.wikipedia.org/wiki/Oman,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Italy,https://en.wikipedia.org/wiki/Italy,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Philippines,https://en.wikipedia.org/wiki/Philippines,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Ecuador,https://en.wikipedia.org/wiki/Ecuador,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Burkina Faso,https://en.wikipedia.org/wiki/Burkina_Faso,1,1,1,1,1,1,1,1,1,1,0,1,1,1
New Zealand,https://en.wikipedia.org/wiki/New_Zealand,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Gabon,https://en.wikipedia.org/wiki/Gabon,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Sahrawi Arab Democratic Republic,https://en.wikipedia.org/wiki/Sahrawi_Arab_Democratic_Republic,1,1,1,1,1,1,1,1,1,1,0,1,0,1
Guinea,https://en.wikipedia.org/wiki/Guinea,1,1,1,1,1,1,1,1,1,1,0,1,1,1
United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Uganda,https://en.wikipedia.org/wiki/Uganda,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Ghana,https://en.wikipedia.org/wiki/Ghana,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Romania,https://en.wikipedia.org/wiki/Romania,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Laos,https://en.wikipedia.org/wiki/Laos,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Guyana,https://en.wikipedia.org/wiki/Guyana,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Belarus,https://en.wikipedia.org/wiki/Belarus,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Kyrgyzstan,https://en.wikipedia.org/wiki/Kyrgyzstan,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Senegal,https://en.wikipedia.org/wiki/Senegal,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Syria,https://en.wikipedia.org/wiki/Syria,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Cambodia,https://en.wikipedia.org/wiki/Cambodia,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Uruguay,https://en.wikipedia.org/wiki/Uruguay,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Somaliland,https://en.wikipedia.org/wiki/Somaliland,1,0,1,1,1,1,1,1,1,1,0,1,1,1
Suriname,https://en.wikipedia.org/wiki/Suriname,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Tunisia,https://en.wikipedia.org/wiki/Tunisia,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Bangladesh,https://en.wikipedia.org/wiki/Bangladesh,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Nepal,https://en.wikipedia.org/wiki/Nepal,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Tajikistan,https://en.wikipedia.org/wiki/Tajikistan,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Greece,https://en.wikipedia.org/wiki/Greece,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Nicaragua,https://en.wikipedia.org/wiki/Nicaragua,1,1,1,1,1,1,1,1,1,1,0,1,1,1
North Korea,https://en.wikipedia.org/wiki/North_Korea,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Malawi,https://en.wikipedia.org/wiki/Malawi,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Eritrea,https://en.wikipedia.org/wiki/Eritrea,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Benin,https://en.wikipedia.org/wiki/Benin,1,1,1,1,1,1,0,1,1,1,0,1,1,1
Honduras,https://en.wikipedia.org/wiki/Honduras,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Liberia,https://en.wikipedia.org/wiki/Liberia,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Bulgaria,https://en.wikipedia.org/wiki/Bulgaria,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Cuba,https://en.wikipedia.org/wiki/Cuba,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Guatemala,https://en.wikipedia.org/wiki/Guatemala,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Iceland,https://en.wikipedia.org/wiki/Iceland,1,1,1,1,1,1,1,1,1,1,0,1,1,1
South Korea,https://en.wikipedia.org/wiki/South_Korea,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Hungary,https://en.wikipedia.org/wiki/Hungary,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Portugal,https://en.wikipedia.org/wiki/Portugal,1,1,1,1,1,1,0,1,1,1,0,1,1,1
Jordan,https://en.wikipedia.org/wiki/Jordan,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Serbia,https://en.wikipedia.org/wiki/Serbia,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Azerbaijan,https://en.wikipedia.org/wiki/Azerbaijan,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Austria,https://en.wikipedia.org/wiki/Austria,1,1,1,1,1,1,1,1,1,1,0,1,1,1
United Arab Emirates,https://en.wikipedia.org/wiki/United_Arab_Emirates,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Czech Republic,https://en.wikipedia.org/wiki/Czech_Republic,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Panama,https://en.wikipedia.org/wiki/Panama,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Sierra Leone,https://en.wikipedia.org/wiki/Sierra_Leone,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Republic of Ireland,https://en.wikipedia.org/wiki/Republic_of_Ireland,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Georgia (country),https://en.wikipedia.org/wiki/Georgia_(country),1,1,1,1,1,1,1,1,1,1,0,1,1,1
Sri Lanka,https://en.wikipedia.org/wiki/Sri_Lanka,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Lithuania,https://en.wikipedia.org/wiki/Lithuania,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Latvia,https://en.wikipedia.org/wiki/Latvia,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Svalbard,https://en.wikipedia.org/wiki/Svalbard,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Togo,https://en.wikipedia.org/wiki/Togo,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Croatia,https://en.wikipedia.org/wiki/Croatia,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Bosnia and Herzegovina,https://en.wikipedia.org/wiki/Bosnia_and_Herzegovina,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Costa Rica,https://en.wikipedia.org/wiki/Costa_Rica,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Slovakia,https://en.wikipedia.org/wiki/Slovakia,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Dominican Republic,https://en.wikipedia.org/wiki/Dominican_Republic,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Estonia,https://en.wikipedia.org/wiki/Estonia,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Denmark,https://en.wikipedia.org/wiki/Denmark,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Netherlands,https://en.wikipedia.org/wiki/Netherlands,1,1,0,1,1,1,1,1,1,1,1,1,1,1
Switzerland,https://en.wikipedia.org/wiki/Switzerland,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Bhutan,https://en.wikipedia.org/wiki/Bhutan,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Taiwan,https://en.wikipedia.org/wiki/Taiwan,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Guinea-Bissau,https://en.wikipedia.org/wiki/Guinea-Bissau,1,1,1,1,1,1,0,1,1,1,0,1,1,1
Moldova,https://en.wikipedia.org/wiki/Moldova,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Belgium,https://en.wikipedia.org/wiki/Belgium,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Lesotho,https://en.wikipedia.org/wiki/Lesotho,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Armenia,https://en.wikipedia.org/wiki/Armenia,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Solomon Islands,https://en.wikipedia.org/wiki/Solomon_Islands,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Albania,https://en.wikipedia.org/wiki/Albania,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Equatorial Guinea,https://en.wikipedia.org/wiki/Equatorial_Guinea,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Burundi,https://en.wikipedia.org/wiki/Burundi,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Haiti,https://en.wikipedia.org/wiki/Haiti,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Rwanda,https://en.wikipedia.org/wiki/Rwanda,1,1,1,1,1,1,1,1,1,1,1,1,1,1
North Macedonia,https://en.wikipedia.org/wiki/North_Macedonia,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Djibouti,https://en.wikipedia.org/wiki/Djibouti,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Belize,https://en.wikipedia.org/wiki/Belize,1,1,1,1,1,1,1,1,1,1,0,1,1,1
El Salvador,https://en.wikipedia.org/wiki/El_Salvador,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Israel,https://en.wikipedia.org/wiki/Israel,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Slovenia,https://en.wikipedia.org/wiki/Slovenia,1,1,1,1,1,1,1,1,1,1,0,1,1,1
New Caledonia,https://en.wikipedia.org/wiki/New_Caledonia,1,1,1,1,1,1,0,1,1,1,1,1,1,1
Fiji,https://en.wikipedia.org/wiki/Fiji,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Kuwait,https://en.wikipedia.org/wiki/Kuwait,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Eswatini,https://en.wikipedia.org/wiki/Eswatini,1,1,1,1,1,1,1,1,1,1,1,1,1,1
East Timor,https://en.wikipedia.org/wiki/East_Timor,1,1,1,1,1,1,1,1,1,1,0,1,1,1
The Bahamas,https://en.wikipedia.org/wiki/The_Bahamas,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Montenegro,https://en.wikipedia.org/wiki/Montenegro,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Vanuatu,https://en.wikipedia.org/wiki/Vanuatu,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Falkland Islands,https://en.wikipedia.org/wiki/Falkland_Islands,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Qatar,https://en.wikipedia.org/wiki/Qatar,1,1,1,1,1,1,1,1,1,1,0,1,1,1
The Gambia,https://en.wikipedia.org/wiki/The_Gambia,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Jamaica,https://en.wikipedia.org/wiki/Jamaica,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Kosovo,https://en.wikipedia.org/wiki/Kosovo,1,0,1,1,1,1,1,1,1,1,0,1,1,1
Lebanon,https://en.wikipedia.org/wiki/Lebanon,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Cyprus,https://en.wikipedia.org/wiki/Cyprus,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Puerto Rico,https://en.wikipedia.org/wiki/Puerto_Rico,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Abkhazia,https://en.wikipedia.org/wiki/Abkhazia,1,0,1,1,1,1,1,1,1,1,1,1,1,1
French Southern and Antarctic Lands,https://en.wikipedia.org/wiki/French_Southern_and_Antarctic_Lands,1,0,1,1,1,1,1,1,1,1,1,1,1,1
United States Minor Outlying Islands,https://en.wikipedia.org/wiki/United_States_Minor_Outlying_Islands,1,0,0,0,0,1,1,0,1,0,1,0,0,0
State of Palestine,https://en.wikipedia.org/wiki/State_of_Palestine,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Brunei,https://en.wikipedia.org/wiki/Brunei,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Trinidad and Tobago,https://en.wikipedia.org/wiki/Trinidad_and_Tobago,1,1,1,1,1,1,1,1,1,1,0,1,1,1
French Polynesia,https://en.wikipedia.org/wiki/French_Polynesia,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Transnistria,https://en.wikipedia.org/wiki/Transnistria,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Cape Verde,https://en.wikipedia.org/wiki/Cape_Verde,1,1,1,1,1,1,1,1,1,1,0,1,1,1
South Georgia and the South Sandwich Islands,https://en.wikipedia.org/wiki/South_Georgia_and_the_South_Sandwich_Islands,1,1,1,1,1,1,1,1,1,1,1,1,1,1
South Ossetia,https://en.wikipedia.org/wiki/South_Ossetia,1,0,1,1,1,1,1,1,1,1,0,1,1,1
Northern Cyprus,https://en.wikipedia.org/wiki/Northern_Cyprus,1,0,1,1,1,1,1,1,1,1,0,1,1,1
Republic of Artsakh,https://en.wikipedia.org/wiki/Republic_of_Artsakh,1,0,1,1,1,1,1,1,1,1,0,1,1,1
Samoa,https://en.wikipedia.org/wiki/Samoa,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Hong Kong,https://en.wikipedia.org/wiki/Hong_Kong,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Luxembourg,https://en.wikipedia.org/wiki/Luxembourg,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Bir Tawil,https://en.wikipedia.org/wiki/Bir_Tawil,1,0,1,1,1,1,1,1,1,1,0,0,0,0
Mauritius,https://en.wikipedia.org/wiki/Mauritius,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Comoros,https://en.wikipedia.org/wiki/Comoros,1,1,1,1,1,1,0,1,1,1,0,1,1,1
Åland Islands,https://en.wikipedia.org/wiki/%C3%85land_Islands,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Faroe Islands,https://en.wikipedia.org/wiki/Faroe_Islands,1,1,1,1,1,1,1,1,1,1,1,1,1,1
São Tomé and Príncipe,https://en.wikipedia.org/wiki/S%C3%A3o_Tom%C3%A9_and_Pr%C3%ADncipe,1,1,1,1,1,1,0,1,1,1,0,1,1,1
Turks and Caicos Islands,https://en.wikipedia.org/wiki/Turks_and_Caicos_Islands,1,1,1,1,1,1,0,1,1,1,0,1,1,1
Kiribati,https://en.wikipedia.org/wiki/Kiribati,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Bahrain,https://en.wikipedia.org/wiki/Bahrain,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Dominica,https://en.wikipedia.org/wiki/Dominica,1,1,1,1,1,1,0,1,1,1,0,1,1,1
Tonga,https://en.wikipedia.org/wiki/Tonga,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Singapore,https://en.wikipedia.org/wiki/Singapore,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Federated States of Micronesia,https://en.wikipedia.org/wiki/Federated_States_of_Micronesia,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Saint Lucia,https://en.wikipedia.org/wiki/Saint_Lucia,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Isle of Man,https://en.wikipedia.org/wiki/Isle_of_Man,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Guam,https://en.wikipedia.org/wiki/Guam,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andorra,https://en.wikipedia.org/wiki/Andorra,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Northern Mariana Islands,https://en.wikipedia.org/wiki/Northern_Mariana_Islands,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Palau,https://en.wikipedia.org/wiki/Palau,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Seychelles,https://en.wikipedia.org/wiki/Seychelles,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Curaçao,https://en.wikipedia.org/wiki/Cura%C3%A7ao,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Antigua and Barbuda,https://en.wikipedia.org/wiki/Antigua_and_Barbuda,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Barbados,https://en.wikipedia.org/wiki/Barbados,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Heard Island and McDonald Islands,https://en.wikipedia.org/wiki/Heard_Island_and_McDonald_Islands,1,0,1,1,1,1,0,1,1,1,1,1,1,1
Saint Vincent and the Grenadines,https://en.wikipedia.org/wiki/Saint_Vincent_and_the_Grenadines,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Jan Mayen,https://en.wikipedia.org/wiki/Jan_Mayen,1,1,1,1,1,1,1,0,1,1,1,1,0,1
United States Virgin Islands,https://en.wikipedia.org/wiki/United_States_Virgin_Islands,1,1,1,1,1,1,0,1,1,1,1,1,1,1
Grenada,https://en.wikipedia.org/wiki/Grenada,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Malta,https://en.wikipedia.org/wiki/Malta,1,1,1,1,1,1,1,1,1,1,0,1,1,1
"Saint Helena, Ascension and Tristan da Cunha","https://en.wikipedia.org/wiki/Saint_Helena,_Ascension_and_Tristan_da_Cunha",1,1,1,1,1,1,1,1,1,1,0,0,1,1
Maldives,https://en.wikipedia.org/wiki/Maldives,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Bonaire,https://en.wikipedia.org/wiki/Bonaire,1,1,1,1,1,1,1,1,1,1,1,1,0,1
Cayman Islands,https://en.wikipedia.org/wiki/Cayman_Islands,1,1,1,1,1,1,0,1,1,1,1,1,1,1
Saint Kitts and Nevis,https://en.wikipedia.org/wiki/Saint_Kitts_and_Nevis,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Niue,https://en.wikipedia.org/wiki/Niue,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Akrotiri and Dhekelia,https://en.wikipedia.org/wiki/Akrotiri_and_Dhekelia,1,1,1,1,1,1,1,1,1,1,1,1,0,1
Saint Pierre and Miquelon,https://en.wikipedia.org/wiki/Saint_Pierre_and_Miquelon,1,1,1,1,1,1,0,1,1,1,1,1,1,1
Cook Islands,https://en.wikipedia.org/wiki/Cook_Islands,1,1,1,1,1,1,1,1,1,1,1,1,1,1
American Samoa,https://en.wikipedia.org/wiki/American_Samoa,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Marshall Islands,https://en.wikipedia.org/wiki/Marshall_Islands,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Aruba,https://en.wikipedia.org/wiki/Aruba,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Liechtenstein,https://en.wikipedia.org/wiki/Liechtenstein,1,1,1,1,1,1,1,1,1,1,0,1,1,1
British Virgin Islands,https://en.wikipedia.org/wiki/British_Virgin_Islands,1,1,1,1,1,1,0,1,1,1,0,1,1,1
Wallis and Futuna,https://en.wikipedia.org/wiki/Wallis_and_Futuna,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Christmas Island,https://en.wikipedia.org/wiki/Christmas_Island,1,1,1,1,1,1,0,1,1,1,1,1,1,1
Jersey,https://en.wikipedia.org/wiki/Jersey,1,1,1,1,1,1,0,1,1,1,1,1,1,1
Montserrat,https://en.wikipedia.org/wiki/Montserrat,1,1,1,1,1,1,0,1,1,1,1,1,1,1
Anguilla,https://en.wikipedia.org/wiki/Anguilla,1,1,1,1,1,1,0,1,1,1,1,1,1,1
Bailiwick of Guernsey,https://en.wikipedia.org/wiki/Bailiwick_of_Guernsey,1,1,1,1,1,1,1,1,1,1,1,1,1,1
San Marino,https://en.wikipedia.org/wiki/San_Marino,1,1,1,1,1,1,1,1,1,1,0,1,1,1
